Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
34,Michael McDowell,17,18,5,1,1,35,13.8,5,102,97,71,69.61,7,103,51.5,1,0.5,200,94.2,44
9,Chase Elliott,12,8,8,2,1,16,8.1,-2,131,133,122,93.13,3,199,99.5,3,1.5,200,103.4,42
3,Austin Dillon,4,4,7,3,1,16,6.1,-7,108,115,97,89.81,2,199,99.5,7,3.5,200,108.5,48
4,Kevin Harvick,8,14,2,4,1,17,6.0,3,109,106,102,93.58,3,196,98.0,17,8.5,200,107.7,42
11,Denny Hamlin,25,3,12,5,1,38,6.0,-7,78,85,64,82.05,5,183,91.5,98,49.0,200,119.6,52
37,Ryan Preece,11,10,10,6,2,19,9.3,8,132,124,114,86.36,9,195,97.5,0,0.0,200,97.9,40
42,Ross Chastain,34,9,6,7,1,34,12.4,8,121,113,72,59.5,7,155,77.5,0,0.0,200,97.1,32
77,Jamie McMurray,19,15,13,8,2,30,16.7,1,87,86,41,47.13,8,109,54.5,0,0.0,200,85.3,29
7,Corey Lajoie,16,17,14,9,4,24,14.4,-17,107,124,76,71.03,8,139,69.5,0,0.0,200,90.8,28
5,Kyle Larson,13,7,11,10,1,18,9.3,20,126,106,112,88.89,6,190,95.0,1,0.5,200,96.4,37
41,Cole Custer,27,16,3,11,1,37,12.8,7,125,118,95,76,6,143,71.5,1,0.5,200,84.4,27
22,Joey Logano,9,6,1,12,1,24,6.5,8,158,150,147,93.04,6,194,97.0,26,13.1,199,104.4,33
2,Brad Keselowski,24,12,4,13,1,39,11.8,-13,117,130,104,88.89,6,171,85.5,0,0.0,199,90.3,25
18,Kyle Busch,10,2,9,14,1,16,5.1,-1,110,111,102,92.73,1,200,100.0,0,0.0,199,114.6,25
33,Austin Cindric,39,5,15,15,1,39,10.4,-8,91,99,74,81.32,8,166,83.0,2,1.0,199,91.5,0
20,Christopher Bell,5,1,16,16,1,24,11.1,13,108,95,69,63.89,11,105,52.5,32,16.1,199,97.3,26
23,Bubba Wallace,6,13,17,17,1,39,11.8,18,132,114,96,72.73,10,128,64.0,1,0.5,198,87.5,32
47,Ricky Stenhouse Jr,21,11,18,18,4,28,15.3,0,114,114,68,59.65,2,97,48.5,0,0.0,198,71.0,19
14,Chase Briscoe,30,24,19,19,1,38,22.0,-1,24,25,0,0,7,4,2.0,0,0.0,197,62.6,18
53,Joey Gase,28,20,20,20,11,37,20.5,-23,38,61,4,10.53,0,5,2.5,0,0.0,196,61.3,17
51,Cody Ware,35,23,21,21,11,39,22.4,-7,28,35,0,0,0,5,2.5,0,0.0,196,59.2,16
1,Kurt Busch,20,25,24,22,10,29,24.6,7,43,36,20,46.51,7,4,2.0,0,0.0,195,60.9,15
78,BJ McLeod,38,21,23,23,2,38,20.4,-8,43,51,0,0,0,14,7.0,0,0.0,195,62.3,0
52,Josh Bilicki,37,22,22,24,11,40,22.3,-28,22,50,1,4.55,0,4,2.0,0,0.0,194,57.7,13
19,Martin Truex Jr,26,28,25,25,17,32,26.5,26,44,18,0,0,23,0,0.0,0,0.0,193,55.5,12
24,William Byron,2,27,26,26,2,32,26.8,5,39,34,0,0,2,0,0.0,0,0.0,191,51.0,11
8,Tyler Reddick,29,26,27,27,14,29,26.0,5,42,37,4,9.52,3,1,0.5,0,0.0,188,53.2,10
16,Kaz Grala,40,19,28,28,1,40,22.4,4,35,31,0,0,4,14,7.0,10,8.7,115,67.6,9
00,Quin Houff,33,29,29,29,10,38,28.1,-12,20,32,2,10,0,3,1.5,0,0.0,37,43.3,8
12,Ryan Blaney,14,30,30,30,6,21,28.9,-9,35,44,15,42.86,0,8,4.0,0,0.0,14,43.3,7
17,Chris Buescher,22,31,31,31,14,25,30.3,-4,18,22,2,11.11,0,1,0.5,0,0.0,14,37.2,6
38,Anthony Alfredo,36,32,32,32,20,36,31.5,9,33,24,0,0,0,0,0.0,0,0.0,14,37.0,5
21,Matt DiBenedetto,23,33,33,33,12,34,32.2,7,42,35,12,28.57,0,2,1.0,0,0.0,14,36.5,4
10,Aric Almirola,3,34,34,34,1,12,31.9,-8,14,22,14,100,0,13,6.5,0,0.0,13,41.5,3
48,Alex Bowman,1,35,35,35,1,14,33.0,-12,15,27,15,100,0,13,6.5,1,7.7,13,40.7,2
99,Daniel Suarez,15,36,36,36,8,18,34.4,3,37,34,27,72.97,0,11,5.5,0,0.0,13,35.5,1
36,David Ragan,18,37,37,37,10,21,35.5,-2,41,43,30,73.17,0,10,5.0,0,0.0,13,30.7,1
6,Ryan Newman,7,38,38,38,1,15,35.9,-4,32,36,29,90.63,0,13,6.5,0,0.0,13,30.8,1
43,Erik Jones,31,39,39,39,9,35,37.8,20,49,29,19,38.78,0,3,1.5,0,0.0,13,30.3,1
15,Derrike Cope,32,40,40,40,21,35,39.8,-9,5,14,0,0,0,0,0.0,0,0.0,3,23.2,1
