Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
20,Christopher Bell,12,3,3,1,1,18,6.1,17,46,29,35,76.09,12,68,97.1,5,7.1,70,128.8,47
22,Joey Logano,11,23,1,2,1,25,4.8,17,53,36,29,54.72,3,67,95.7,10,14.3,70,121.5,52
11,Denny Hamlin,4,1,5,3,1,16,4.3,17,50,33,29,58,3,70,100.0,5,7.1,70,124.2,52
1,Kurt Busch,17,2,2,4,1,29,9.2,-3,73,76,27,36.99,0,54,77.1,2,2.9,70,98.6,48
2,Brad Keselowski,15,31,4,5,2,38,16.5,-48,75,123,22,29.33,0,42,60.0,0,0.0,70,76.7,39
4,Kevin Harvick,5,9,8,6,2,17,8.6,-6,49,55,24,48.98,0,67,95.7,0,0.0,70,100.8,33
16,AJ Allmendinger,34,29,15,7,1,37,17.1,49,103,54,19,18.45,1,29,41.4,2,2.9,70,90.1,0
34,Michael McDowell,2,15,10,8,2,40,20.1,-11,111,122,19,17.12,1,22,31.4,0,0.0,70,76.9,29
37,Ryan Preece,6,30,9,9,5,33,17.9,7,72,65,13,18.06,0,22,31.4,0,0.0,70,79.7,28
48,Alex Bowman,36,14,12,10,8,36,16.8,16,73,57,13,17.81,0,31,44.3,0,0.0,70,79.3,27
17,Chris Buescher,30,10,13,11,4,30,14.8,8,75,67,31,41.33,0,39,55.7,0,0.0,70,81.8,27
19,Martin Truex Jr,19,4,19,12,1,33,7.3,31,100,69,47,47,8,63,90.0,0,0.0,70,108.9,35
41,Cole Custer,13,27,20,13,5,28,12.1,15,75,60,36,48,0,60,85.7,0,0.0,70,95.5,27
43,Erik Jones,37,13,18,14,12,39,21.1,20,91,71,14,15.38,0,21,30.0,0,0.0,70,71.7,23
12,Ryan Blaney,27,28,22,15,13,36,21.4,16,90,74,5,5.56,0,10,14.3,0,0.0,70,69.7,22
99,Daniel Suarez,35,8,30,16,1,35,19.4,1,92,91,9,9.78,0,20,28.6,2,2.9,70,68.2,21
10,Aric Almirola,26,7,25,17,7,35,17.5,2,84,82,13,15.48,0,22,31.4,0,0.0,70,70.7,20
47,Ricky Stenhouse Jr,16,33,14,18,11,36,22.7,15,96,81,7,7.29,0,3,4.3,0,0.0,70,62.7,19
96,Ty Dillon,38,22,24,19,10,38,25.9,15,85,70,2,2.35,0,1,1.4,0,0.0,70,53.0,0
6,Ryan Newman,33,18,17,20,11,33,23.4,-11,87,98,1,1.15,0,4,5.7,0,0.0,70,55.2,17
9,Chase Elliott,1,5,7,21,1,26,4.7,-1,41,42,29,70.73,19,64,91.4,44,62.9,70,120.0,31
38,Anthony Alfredo,31,20,26,22,12,38,30.1,-30,53,83,1,1.89,0,2,2.9,0,0.0,70,46.3,15
15,James Davison,39,21,23,23,7,39,27.7,8,97,89,4,4.12,0,4,5.7,0,0.0,70,49.7,14
77,Justin Haley,20,19,28,24,16,36,29.7,6,79,73,1,1.27,0,0,0.0,0,0.0,70,42.8,0
51,Cody Ware,21,35,21,25,9,37,29.5,-10,95,105,2,2.11,0,1,1.4,0,0.0,70,41.8,0
23,Bubba Wallace,10,24,11,26,7,38,25.0,-49,61,110,9,14.75,0,13,18.6,0,0.0,70,46.2,11
53,Garrett Smithley,25,36,31,27,20,38,33.5,6,55,49,0,0,0,0,0.0,0,0.0,70,36.0,0
78,Scott Heckert,28,38,32,28,19,38,34.4,-7,47,54,0,0,0,0,0.0,0,0.0,70,34.0,9
66,Timmy Hill,40,34,33,29,26,40,35.9,8,35,27,0,0,0,0,0.0,0,0.0,70,32.0,0
5,Kyle Larson,8,11,35,30,1,36,10.3,-15,66,81,36,54.55,1,61,87.1,0,0.0,70,84.2,12
7,Corey Lajoie,7,32,36,31,6,38,27.1,-27,72,99,6,8.33,0,7,10.0,0,0.0,70,41.7,6
14,Chase Briscoe,18,17,6,32,2,39,22.0,-16,87,103,19,21.84,0,22,31.4,0,0.0,70,52.7,5
24,William Byron,22,6,34,33,6,34,15.1,7,85,78,29,34.12,0,45,64.3,0,0.0,69,75.2,8
3,Austin Dillon,3,26,16,34,2,35,13.9,-23,59,82,26,44.07,0,51,72.9,0,0.0,69,74.3,6
18,Kyle Busch,14,25,27,35,3,40,20.5,7,88,81,22,25,1,30,42.9,0,0.0,69,75.1,3
52,Josh Bilicki,23,37,29,36,18,38,31.8,-13,76,89,0,0,0,0,0.0,0,0.0,68,32.0,1
21,Matt DiBenedetto,32,12,38,37,2,38,27.3,-31,89,120,4,4.49,0,7,10.0,0,0.0,65,46.0,1
8,Tyler Reddick,24,16,37,38,8,37,24.7,26,97,71,7,7.22,0,13,18.6,0,0.0,58,55.2,1
42,Ross Chastain,9,39,39,39,6,28,29.8,-20,13,33,6,46.15,0,15,21.4,0,0.0,26,55.7,1
00,Quin Houff,29,40,40,40,29,40,39.9,-3,2,5,0,0,0,0,0.0,0,0.0,3,23.2,1
