Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,3,6,1,1,1,17,3.4,11,128,117,123,96.09,57,264,98.9,103,38.6,267,142.6,50
2,Brad Keselowski,10,8,2,2,1,22,4.2,36,133,97,113,84.96,30,255,95.5,27,10.1,267,123.5,54
18,Kyle Busch,14,15,5,3,3,26,11.7,17,143,126,73,51.05,9,199,74.5,0,0.0,267,95.2,36
11,Denny Hamlin,6,7,3,4,1,19,4.3,-3,94,97,76,80.85,13,263,98.5,47,17.6,267,116.6,48
12,Ryan Blaney,26,9,7,5,1,26,6.1,27,120,93,93,77.5,16,258,96.6,1,0.4,267,111.5,46
19,Martin Truex Jr,4,14,4,6,1,23,7.1,-6,129,135,98,75.97,6,261,97.8,6,2.3,267,103.4,35
20,Christopher Bell,16,13,8,7,1,30,9.0,3,139,136,103,74.1,6,252,94.4,0,0.0,267,99.8,39
24,William Byron,2,10,9,8,1,24,6.3,7,126,119,102,80.95,31,263,98.5,25,9.4,267,111.4,40
22,Joey Logano,15,16,11,9,1,30,11.2,-4,139,143,80,57.55,1,234,87.6,7,2.6,267,90.6,30
43,Erik Jones,29,26,13,10,6,31,16.6,12,151,139,42,27.81,5,111,41.6,0,0.0,267,81.7,27
47,Ricky Stenhouse Jr,17,18,14,11,3,27,15.1,-14,126,140,53,42.06,1,166,62.2,0,0.0,267,81.6,26
3,Austin Dillon,12,24,15,12,3,31,16.3,2,126,124,52,41.27,0,140,52.4,0,0.0,267,78.5,25
9,Chase Elliott,8,19,16,13,1,31,12.4,37,165,128,96,58.18,18,184,68.9,22,8.2,267,89.7,34
17,Chris Buescher,18,25,18,14,5,29,17.9,-4,140,144,30,21.43,0,66,24.7,0,0.0,267,74.0,23
37,Ryan Preece,19,23,19,15,4,31,18.9,-6,150,156,38,25.33,0,98,36.7,0,0.0,266,69.3,22
21,Matt DiBenedetto,30,20,12,16,2,30,11.3,6,149,143,85,57.05,3,222,83.2,0,0.0,266,84.7,24
34,Michael McDowell,5,2,20,17,1,27,17.9,-13,136,149,21,15.44,0,56,21.0,9,3.4,266,69.3,20
6,Ryan Newman,13,27,22,18,7,31,20.4,-23,117,140,18,15.38,0,37,13.9,0,0.0,266,61.2,19
1,Kurt Busch,7,21,21,19,1,27,14.4,6,149,143,80,53.69,2,157,58.8,0,0.0,266,77.0,18
4,Kevin Harvick,1,22,23,20,1,32,17.8,-8,150,158,45,30,1,72,27.0,0,0.0,266,66.4,17
14,Chase Briscoe,24,29,24,21,7,31,23.8,-9,116,125,12,10.34,1,13,4.9,0,0.0,266,49.9,16
8,Tyler Reddick,11,1,17,22,1,30,19.9,-7,157,164,30,19.11,6,48,18.0,7,2.6,266,60.1,15
42,Ross Chastain,21,28,25,23,5,29,21.9,0,153,153,14,9.15,1,15,5.6,0,0.0,266,55.6,14
38,Anthony Alfredo,27,3,26,24,1,30,22.5,-4,133,137,12,9.02,0,31,11.6,1,0.4,266,50.7,13
41,Cole Custer,20,17,27,25,2,30,24.6,-8,131,139,17,12.98,0,16,6.0,0,0.0,266,47.7,12
99,Daniel Suarez,22,5,6,26,1,32,22.5,-3,120,123,19,15.83,0,42,15.7,12,4.5,265,51.1,11
48,Alex Bowman,9,11,10,27,2,29,10.7,-12,153,165,101,66.01,14,219,82.0,0,0.0,265,85.9,21
23,Bubba Wallace,23,35,28,28,16,38,31.6,3,41,38,0,0,9,0,0.0,0,0.0,262,49.4,9
77,Justin Haley,25,12,29,29,8,32,28.6,-16,42,58,9,21.43,0,8,3.0,0,0.0,262,40.2,0
78,BJ McLeod,34,31,30,30,3,34,30.4,-2,31,33,0,0,0,2,0.8,0,0.0,260,37.3,0
53,Garrett Smithley,31,32,31,31,30,36,31.9,2,17,15,0,0,0,0,0.0,0,0.0,259,34.8,0
51,Cody Ware,32,33,32,32,31,38,33.2,2,21,19,0,0,0,0,0.0,0,0.0,259,34.5,0
00,Quin Houff,36,34,33,33,33,36,34.2,0,18,18,0,0,0,0,0.0,0,0.0,256,29.7,4
15,Joey Gase,37,36,34,34,33,38,35.4,0,10,10,0,0,0,0,0.0,0,0.0,255,27.5,3
52,Josh Bilicki,35,37,35,35,33,38,35.8,3,15,12,0,0,0,0,0.0,0,0.0,252,28.8,2
66,Timmy Hill,38,38,36,36,36,38,37.0,1,8,7,0,0,0,0,0.0,0,0.0,246,24.2,0
7,Corey Lajoie,33,4,37,37,3,33,27.6,-37,91,128,14,15.38,0,26,9.7,0,0.0,188,41.3,1
10,Aric Almirola,28,30,38,38,5,30,27.3,3,90,87,17,18.89,0,27,10.1,0,0.0,178,48.2,1
