Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
12,Ryan Blaney,10,3,2,1,1,15,2.7,8,46,38,35,76.09,28,325,100.0,25,7.7,325,127.9,57
5,Kyle Larson,6,1,1,2,1,12,1.3,5,34,29,25,73.53,104,325,100.0,269,82.8,325,144.8,55
48,Alex Bowman,14,2,3,3,2,21,4.9,7,60,53,41,68.33,14,321,98.8,0,0.0,325,114.1,47
11,Denny Hamlin,1,8,4,4,1,27,5.6,1,82,81,47,57.32,10,319,98.2,27,8.3,325,114.2,41
18,Kyle Busch,19,5,6,5,2,20,6.6,34,92,58,63,68.48,15,312,96.0,0,0.0,325,108.2,48
3,Austin Dillon,13,7,5,6,4,30,9.2,7,81,74,39,48.15,6,282,86.8,0,0.0,325,95.8,35
17,Chris Buescher,17,9,9,7,3,21,10.0,6,86,80,51,59.3,10,298,91.7,0,0.0,325,94.2,35
24,William Byron,9,6,8,8,1,17,7.4,-4,69,73,46,66.67,5,322,99.1,2,0.6,325,98.7,36
19,Martin Truex Jr,2,10,7,9,2,19,9.1,-4,85,89,58,68.24,5,323,99.4,0,0.0,325,92.6,32
4,Kevin Harvick,7,21,12,10,2,32,18.6,14,62,48,22,35.48,12,120,36.9,0,0.0,325,85.4,27
21,Matt DiBenedetto,20,4,10,11,3,24,8.7,0,60,60,34,56.67,1,316,97.2,0,0.0,325,93.2,31
47,Ricky Stenhouse Jr,12,12,11,12,6,30,13.7,10,99,89,44,44.44,1,228,70.2,0,0.0,325,81.2,25
6,Ryan Newman,28,11,13,13,6,28,14.3,6,98,92,42,42.86,1,258,79.4,0,0.0,325,78.9,24
42,Ross Chastain,21,23,14,14,6,30,19.3,9,91,82,18,19.78,3,69,21.2,0,0.0,325,71.0,23
22,Joey Logano,3,16,15,15,2,22,13.1,-16,76,92,42,55.26,0,286,88.0,0,0.0,324,79.3,22
23,Bubba Wallace,15,18,16,16,2,28,16.7,-5,99,104,28,28.28,0,86,26.5,0,0.0,324,69.5,21
99,Daniel Suarez,25,14,18,17,1,28,15.1,7,115,108,44,38.26,9,152,46.8,1,0.3,324,75.4,21
41,Cole Custer,27,17,17,18,9,30,17.0,3,81,78,17,20.99,0,50,15.4,0,0.0,324,66.3,19
34,Michael McDowell,18,20,19,19,9,27,19.5,-6,72,78,4,5.56,2,9,2.8,0,0.0,324,60.8,18
10,Aric Almirola,16,19,20,20,1,27,18.9,-13,77,90,14,18.18,0,25,7.7,0,0.0,324,61.8,17
20,Christopher Bell,8,22,21,21,8,28,20.9,-14,60,74,8,13.33,1,10,3.1,0,0.0,323,60.2,16
33,Austin Cindric,39,26,24,22,8,39,24.3,5,89,84,4,4.49,1,3,0.9,0,0.0,323,54.6,0
14,Chase Briscoe,24,25,23,23,4,30,25.2,-5,89,94,5,5.62,1,3,0.9,0,0.0,323,50.2,14
43,Erik Jones,22,27,22,24,18,31,24.8,-9,57,66,0,0,0,0,0.0,0,0.0,323,53.8,13
37,Ryan Preece,23,24,25,25,21,32,24.8,-5,66,71,0,0,1,0,0.0,0,0.0,323,51.4,12
8,Tyler Reddick,29,30,26,26,19,38,29.6,0,43,43,0,0,4,0,0.0,0,0.0,323,49.6,11
38,Anthony Alfredo,32,29,27,27,11,32,27.9,-2,66,68,2,3.03,0,0,0.0,0,0.0,322,44.8,10
2,Brad Keselowski,4,13,28,28,4,30,20.3,-22,72,94,28,38.89,5,121,37.2,0,0.0,321,64.1,9
7,Corey Lajoie,30,28,29,29,1,31,28.0,-3,64,67,7,10.94,29,4,1.2,0,0.0,319,50.1,8
77,Justin Haley,26,31,30,30,26,33,30.7,-10,14,24,0,0,9,0,0.0,0,0.0,319,42.0,0
51,Cody Ware,33,34,31,31,31,37,33.0,-1,16,17,0,0,0,0,0.0,0,0.0,316,36.3,0
15,James Davison,34,33,32,32,31,37,33.4,4,17,13,0,0,0,0,0.0,0,0.0,316,35.2,5
00,Quin Houff,35,32,33,33,13,36,32.4,3,33,30,2,6.06,0,1,0.3,0,0.0,314,36.7,4
78,BJ McLeod,31,35,34,34,31,36,34.9,-5,9,14,0,0,0,0,0.0,0,0.0,313,31.2,0
53,Joey Gase,36,36,35,35,33,37,36.0,0,6,6,0,0,0,0,0.0,0,0.0,308,29.0,2
66,Timmy Hill,38,37,36,36,36,39,37.1,1,6,5,0,0,0,0,0.0,0,0.0,305,26.2,0
52,Josh Bilicki,37,38,37,37,37,39,38.2,-4,3,7,0,0,0,0,0.0,0,0.0,285,25.3,1
9,Chase Elliott,5,15,38,38,2,35,19.9,16,74,58,31,41.89,8,195,60.0,0,0.0,220,74.0,4
1,Kurt Busch,11,39,39,39,1,20,27.2,-8,37,45,31,83.78,7,112,34.5,1,0.9,113,67.2,8
