Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
48,Alex Bowman,16,5,1,1,1,16,5.7,13,19,6,18,94.74,61,400,100.0,98,24.5,400,122.6,51
5,Kyle Larson,4,1,2,2,1,14,1.5,2,3,1,3,100,122,400,100.0,263,65.8,400,144.7,55
9,Chase Elliott,8,2,3,3,2,30,5.6,22,30,8,12,40,59,363,90.8,0,0.0,400,117.0,50
24,William Byron,3,3,4,4,1,14,4.2,5,18,13,18,100,26,400,100.0,21,5.3,400,117.7,45
22,Joey Logano,9,12,7,5,2,19,9.4,8,31,23,27,87.1,11,383,95.8,0,0.0,400,100.9,36
4,Kevin Harvick,5,6,5,6,2,15,4.7,2,12,10,12,100,11,400,100.0,0,0.0,400,109.7,42
11,Denny Hamlin,2,4,9,7,1,10,5.6,-2,17,19,17,100,10,400,100.0,2,0.5,400,106.2,45
8,Tyler Reddick,12,11,6,8,6,26,12.6,12,29,17,17,58.62,1,261,65.3,0,0.0,400,87.0,30
99,Daniel Suarez,24,15,8,9,5,24,14.3,1,23,22,11,47.83,1,230,57.5,0,0.0,400,80.4,28
41,Cole Custer,30,18,12,10,7,30,18.2,10,42,32,8,19.05,2,80,20.0,0,0.0,400,69.4,27
23,Bubba Wallace,22,17,10,11,7,22,14.7,-4,18,22,8,44.44,2,208,52.0,0,0.0,400,75.1,26
12,Ryan Blaney,7,19,11,12,2,19,9.4,7,16,9,12,75,4,329,82.3,0,0.0,400,94.7,33
1,Kurt Busch,28,7,14,13,5,28,12.0,11,28,17,15,53.57,11,339,84.8,0,0.0,400,85.5,28
3,Austin Dillon,14,9,15,14,7,19,11.4,-5,24,29,24,100,3,380,95.0,0,0.0,400,87.6,25
42,Ross Chastain,19,16,13,15,10,28,14.5,10,33,23,14,42.42,2,277,69.3,0,0.0,400,76.8,22
2,Brad Keselowski,15,8,16,16,3,18,10.8,1,15,14,14,93.33,1,311,77.8,0,0.0,400,85.5,25
17,Chris Buescher,10,14,18,17,5,19,12.7,-19,12,31,11,91.67,1,245,61.3,0,0.0,400,75.2,22
37,Ryan Preece,25,21,19,18,18,29,21.9,-1,9,10,0,0,0,0,0.0,0,0.0,399,56.2,19
19,Martin Truex Jr,1,13,17,19,1,19,12.8,-10,19,29,15,78.95,8,296,74.0,16,4.0,399,77.1,18
47,Ricky Stenhouse Jr,20,22,20,20,14,26,19.7,-9,24,33,9,37.5,6,16,4.0,0,0.0,399,63.1,17
20,Christopher Bell,11,25,21,21,5,26,21.1,-6,17,23,6,35.29,0,55,13.8,0,0.0,396,64.2,16
43,Erik Jones,23,20,22,22,18,24,21.8,-7,12,19,0,0,0,0,0.0,0,0.0,396,52.0,15
6,Ryan Newman,13,23,23,23,13,34,23.7,5,25,20,0,0,1,0,0.0,0,0.0,396,50.0,14
21,Matt DiBenedetto,18,24,24,24,10,27,24.0,-12,11,23,2,18.18,0,8,2.0,0,0.0,395,52.7,13
34,Michael McDowell,21,26,25,25,20,29,25.2,2,9,7,0,0,0,0,0.0,0,0.0,395,48.5,12
7,Corey Lajoie,26,28,26,26,6,34,27.7,-8,12,20,0,0,0,1,0.3,0,0.0,393,45.8,11
18,Kyle Busch,6,33,27,27,4,37,28.2,-12,16,28,2,12.5,6,29,7.3,0,0.0,393,50.6,10
38,Anthony Alfredo,27,27,28,28,26,32,27.8,-2,2,4,0,0,0,0,0.0,0,0.0,392,40.8,9
00,Quin Houff,35,30,29,29,29,36,31.4,-3,17,20,0,0,0,0,0.0,0,0.0,388,33.3,8
77,Josh Berry,29,32,30,30,29,37,31.5,12,20,8,0,0,0,0,0.0,0,0.0,388,37.0,0
51,Cody Ware,34,29,31,31,29,34,31.1,3,18,15,0,0,0,0,0.0,0,0.0,387,34.0,0
53,Garrett Smithley,36,34,32,32,32,37,34.1,2,10,8,0,0,0,0,0.0,0,0.0,383,29.8,0
15,James Davison,33,36,34,33,32,37,35.7,-3,6,9,0,0,0,0,0.0,0,0.0,382,27.0,4
52,Josh Bilicki,37,35,33,34,33,37,35.0,-4,7,11,0,0,0,0,0.0,0,0.0,381,24.8,3
14,Chase Briscoe,17,37,37,35,14,37,29.9,-15,19,34,13,68.42,0,59,14.8,0,0.0,335,46.3,2
78,BJ McLeod,31,31,35,36,29,33,31.5,-8,12,20,0,0,0,0,0.0,0,0.0,334,34.0,0
10,Aric Almirola,32,10,36,37,5,32,21.6,9,24,15,7,29.17,1,130,32.5,0,0.0,300,53.9,1
