Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,1,1,1,1,1,8,1.3,4,37,33,33,89.19,69,400,100.0,327,81.8,400,149.5,70
9,Chase Elliott,3,2,2,2,1,9,2.6,3,57,54,51,89.47,39,400,100.0,22,5.5,400,121.1,60
18,Kyle Busch,20,4,4,3,1,20,5.4,15,112,97,88,78.57,36,397,99.3,1,0.3,400,114.5,54
24,William Byron,4,3,3,4,1,13,3.2,6,81,75,67,82.72,51,400,100.0,19,4.8,400,119.2,58
48,Alex Bowman,7,7,5,5,1,29,7.3,-4,94,98,64,68.09,7,394,98.5,5,1.3,400,103.6,43
3,Austin Dillon,6,10,7,6,1,23,7.9,12,123,111,95,77.24,24,391,97.8,1,0.3,400,104.2,41
11,Denny Hamlin,14,9,6,7,1,31,10.2,-5,98,103,65,66.33,2,328,82.0,3,0.8,400,93.6,36
17,Chris Buescher,27,8,9,8,4,29,14.4,16,119,103,50,42.02,7,239,59.8,0,0.0,400,83.8,32
8,Tyler Reddick,15,5,8,9,1,22,8.5,14,120,106,87,72.5,18,396,99.0,6,1.5,400,99.1,42
4,Kevin Harvick,5,6,10,10,2,25,7.0,1,96,95,67,69.79,24,386,96.5,0,0.0,400,101.9,40
2,Brad Keselowski,13,16,11,11,1,26,14.3,-3,120,123,47,39.17,8,233,58.3,6,1.5,400,79.3,26
47,Ricky Stenhouse Jr,2,14,12,12,2,23,12.2,-4,91,95,53,58.24,9,311,77.8,0,0.0,400,84.1,27
12,Ryan Blaney,11,21,13,13,1,30,17.3,-10,111,121,34,30.63,10,202,50.5,2,0.5,400,79.9,24
23,Bubba Wallace,18,12,14,14,6,21,13.3,10,105,95,62,59.05,1,322,80.5,0,0.0,400,82.2,25
99,Daniel Suarez,9,24,17,15,5,29,19.6,-10,99,109,26,26.26,7,117,29.3,0,0.0,398,82.3,22
43,Erik Jones,19,18,16,16,7,24,15.9,-1,113,114,45,39.82,18,163,40.8,0,0.0,398,72.0,21
22,Joey Logano,16,11,15,17,2,33,12.9,-14,115,129,66,57.39,4,302,75.5,0,0.0,398,77.0,20
21,Matt DiBenedetto,22,20,18,18,1,29,20.3,0,115,115,20,17.39,1,27,6.8,2,0.5,398,60.8,19
7,Corey Lajoie,26,22,19,19,6,35,22.0,9,104,95,4,3.85,0,4,1.0,0,0.0,398,55.5,18
34,Michael McDowell,24,28,21,20,13,33,22.2,-2,93,95,5,5.38,2,6,1.5,0,0.0,398,52.8,17
41,Cole Custer,23,27,23,21,12,35,24.4,5,101,96,3,2.97,0,2,0.5,0,0.0,397,52.7,16
10,Aric Almirola,31,26,22,22,12,33,24.6,8,100,92,2,2,0,2,0.5,0,0.0,397,50.7,15
14,Chase Briscoe,21,25,24,23,5,29,23.7,2,93,91,7,7.53,0,6,1.5,0,0.0,397,58.8,14
20,Christopher Bell,17,13,26,24,1,32,19.8,-4,121,125,37,30.58,5,115,28.8,3,0.8,397,64.5,13
38,Anthony Alfredo,29,19,25,25,1,31,22.5,-7,99,106,17,17.17,0,21,5.3,3,0.8,397,53.6,12
37,Ryan Preece,28,23,20,26,10,31,24.4,4,92,88,3,3.26,2,3,0.8,0,0.0,397,47.4,11
6,Ryan Newman,25,17,28,27,2,29,20.1,3,103,100,25,24.27,9,101,25.3,0,0.0,396,61.3,10
77,Justin Haley,30,29,27,28,8,32,28.9,-1,47,48,6,12.77,0,3,0.8,0,0.0,395,41.3,0
19,Martin Truex Jr,8,15,29,29,5,31,14.5,-24,96,120,45,46.88,2,253,63.3,0,0.0,391,73.3,12
53,Cody Ware,34,31,30,30,14,35,30.9,1,45,44,3,6.67,0,2,0.5,0,0.0,389,38.0,0
78,BJ McLeod,33,32,31,31,26,37,31.6,5,34,29,0,0,0,0,0.0,0,0.0,389,35.5,0
00,Quin Houff,32,30,32,32,21,34,31.7,-2,47,49,0,0,0,0,0.0,0,0.0,389,34.8,5
15,James Davison,35,33,34,33,30,36,33.6,0,24,24,0,0,0,0,0.0,0,0.0,388,30.2,4
51,Garrett Smithley,36,34,33,34,29,36,34.2,4,23,19,0,0,0,0,0.0,0,0.0,387,30.5,0
52,Josh Bilicki,37,35,35,35,34,37,35.5,0,4,4,0,0,0,0,0.0,0,0.0,382,27.0,2
66,David Starr,38,36,36,36,36,38,36.5,2,2,0,0,0,0,0,0.0,0,0.0,369,24.7,0
42,Ross Chastain,10,37,37,37,10,38,34.6,-28,10,38,7,70,12,43,10.8,0,0.0,359,45.3,1
1,Kurt Busch,12,38,38,38,12,37,31.9,-4,52,56,8,15.38,2,31,7.8,0,0.0,139,39.8,1
