Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,1,14,1,1,1,21,3.2,31,61,30,45,73.77,29,89,96.7,57,62.0,92,149.2,60
9,Chase Elliott,2,1,2,2,1,20,4.8,16,63,47,42,66.67,4,88,95.7,13,14.1,92,122.2,50
19,Martin Truex Jr,19,11,3,3,2,29,7.3,13,93,80,55,59.14,6,82,89.1,0,0.0,92,117.1,41
22,Joey Logano,13,23,4,4,1,29,10.7,18,83,65,26,31.33,1,64,69.6,5,5.4,92,97.3,42
18,Kyle Busch,5,4,5,5,1,26,7.5,22,87,65,43,49.43,2,80,87.0,2,2.2,92,111.8,44
1,Kurt Busch,30,2,7,6,1,30,9.3,17,79,62,36,45.57,1,74,80.4,8,8.7,92,105.3,41
42,Ross Chastain,29,12,6,7,3,36,14.2,-30,93,123,34,36.56,1,61,66.3,0,0.0,92,92.8,30
11,Denny Hamlin,4,7,15,8,1,28,12.5,15,70,55,27,38.57,2,67,72.8,2,2.2,92,89.9,31
48,Alex Bowman,7,18,14,9,3,23,11.9,9,76,67,28,36.84,1,64,69.6,0,0.0,92,95.5,42
12,Ryan Blaney,11,10,16,10,4,35,15.9,20,104,84,28,26.92,1,48,52.2,0,0.0,92,85.3,27
43,Erik Jones,18,15,13,11,4,34,15.4,-20,70,90,27,38.57,1,54,58.7,0,0.0,92,81.5,27
99,Daniel Suarez,16,17,9,12,6,37,18.3,-41,84,125,24,28.57,3,41,44.6,0,0.0,92,72.9,25
3,Austin Dillon,6,26,20,13,5,36,19.0,1,72,71,10,13.89,0,36,39.1,0,0.0,92,67.5,29
23,Bubba Wallace,15,36,25,14,8,36,27.3,-30,71,101,7,9.86,0,20,21.7,0,0.0,92,56.7,23
2,Brad Keselowski,9,5,23,15,2,32,12.5,34,76,42,24,31.58,0,59,64.1,0,0.0,92,91.7,25
17,Chris Buescher,12,16,18,16,8,35,16.7,-33,81,114,19,23.46,1,44,47.8,0,0.0,92,71.6,21
14,Chase Briscoe,25,19,19,17,7,32,18.7,-25,73,98,10,13.7,0,19,20.7,0,0.0,92,62.5,20
7,Corey Lajoie,22,21,26,18,3,34,20.9,5,74,69,14,18.92,0,23,25.0,0,0.0,92,57.8,19
8,Tyler Reddick,10,20,11,19,2,37,17.5,-32,65,97,16,24.62,1,43,46.7,0,0.0,92,68.8,22
41,Cole Custer,23,25,21,20,5,31,20.1,13,89,76,7,7.87,0,16,17.4,0,0.0,92,55.8,17
37,Ryan Preece,27,24,24,21,6,35,24.7,-9,59,68,4,6.78,3,10,10.9,0,0.0,92,54.2,16
4,Kevin Harvick,8,8,30,22,3,33,17.1,28,86,58,19,22.09,2,43,46.7,0,0.0,92,73.2,15
21,Matt DiBenedetto,17,29,27,23,2,30,18.6,-17,65,82,9,13.85,0,27,29.4,0,0.0,92,60.8,16
20,Christopher Bell,20,6,10,24,6,37,16.7,-3,75,78,21,28,1,54,58.7,0,0.0,92,72.3,14
15,James Davison,32,30,33,25,8,33,27.0,31,86,55,2,2.33,0,3,3.3,0,0.0,92,41.8,12
78,Scott Heckert,35,31,31,26,10,36,29.2,23,87,64,1,1.15,0,1,1.1,0,0.0,92,36.5,11
10,Aric Almirola,26,27,17,27,5,33,20.6,2,87,85,9,10.34,0,17,18.5,0,0.0,92,53.7,10
34,Michael McDowell,21,9,12,28,6,35,15.8,-15,100,115,28,28,0,51,55.4,0,0.0,92,66.3,9
52,Josh Bilicki,36,33,32,29,18,37,30.0,17,83,66,0,0,0,0,0.0,0,0.0,92,35.3,8
77,Ben Rhodes,31,28,28,30,11,34,27.6,-6,90,96,3,3.33,0,6,6.5,0,0.0,92,36.7,0
38,Anthony Alfredo,28,22,8,31,4,36,23.8,-17,97,114,5,5.15,0,22,23.9,0,0.0,92,40.0,6
53,Garrett Smithley,34,35,34,32,28,37,33.9,2,40,38,0,0,0,0,0.0,0,0.0,92,27.3,0
6,Ryan Newman,24,13,22,33,10,37,24.0,-31,70,101,5,7.14,0,7,7.6,0,0.0,92,42.3,4
51,Cody Ware,37,32,29,34,11,37,30.3,22,72,50,2,2.78,0,4,4.4,0,0.0,84,29.2,0
24,William Byron,3,3,35,35,1,32,14.8,-24,78,102,30,38.46,5,59,64.1,5,6.6,76,81.3,7
00,Quin Houff,33,34,36,36,18,37,33.5,10,43,33,0,0,0,0,0.0,0,0.0,69,25.8,1
47,Ricky Stenhouse Jr,14,37,37,37,14,37,32.1,-17,21,38,1,4.76,0,4,4.4,0,0.0,40,35.2,1
