Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,5,1,1,1,1,9,1.4,15,19,4,17,89.47,133,300,100.0,264,88.0,300,149.7,58
42,Ross Chastain,19,9,6,2,1,27,10.2,52,101,49,55,54.46,18,245,81.7,4,1.3,300,106.0,35
24,William Byron,4,8,2,3,2,33,11.2,25,81,56,20,24.69,0,208,69.3,0,0.0,300,98.5,41
10,Aric Almirola,1,6,4,4,1,16,6.4,0,43,43,42,97.67,11,297,99.0,1,0.3,300,116.7,35
4,Kevin Harvick,12,5,3,5,3,24,8.3,-4,64,68,35,54.69,1,256,85.3,0,0.0,300,108.1,33
47,Ricky Stenhouse Jr,14,2,8,6,2,19,6.3,26,54,28,48,88.89,25,296,98.7,0,0.0,300,114.7,38
99,Daniel Suarez,22,12,12,7,3,30,14.6,19,90,71,37,41.11,1,177,59.0,0,0.0,300,84.4,37
1,Kurt Busch,30,14,7,8,1,30,11.0,38,72,34,33,45.83,2,223,74.3,3,1.0,300,90.7,38
20,Christopher Bell,25,20,10,9,6,25,13.8,25,82,57,28,34.15,0,183,61.0,0,0.0,300,85.3,28
22,Joey Logano,3,7,11,10,3,22,8.2,-24,40,64,40,100,0,296,98.7,0,0.0,300,97.3,29
18,Kyle Busch,2,3,16,11,1,27,8.7,-14,51,65,35,68.63,14,229,76.3,10,3.3,300,98.0,38
3,Austin Dillon,28,22,14,12,2,32,18.0,7,77,70,18,23.38,0,116,38.7,0,0.0,300,73.8,39
9,Chase Elliott,6,10,5,13,1,24,7.7,-8,32,40,26,81.25,4,288,96.0,13,4.3,300,98.1,38
6,Ryan Newman,29,17,15,14,10,37,21.3,-18,73,91,5,6.85,0,59,19.7,0,0.0,300,67.7,23
48,Alex Bowman,8,16,17,15,7,28,15.5,4,77,73,24,31.17,0,102,34.0,0,0.0,300,76.3,22
7,Corey Lajoie,24,28,22,16,15,37,26.5,-6,63,69,0,0,0,1,0.3,0,0.0,300,55.0,21
34,Michael McDowell,23,24,21,17,4,29,20.5,-4,79,83,9,11.39,0,47,15.7,0,0.0,300,58.0,20
38,Anthony Alfredo,18,25,19,18,6,31,21.5,-19,68,87,11,16.18,0,30,10.0,0,0.0,300,55.3,19
8,Tyler Reddick,26,15,18,19,2,36,18.9,-14,86,100,20,23.26,0,87,29.0,0,0.0,300,68.2,18
43,Erik Jones,9,18,20,20,3,37,18.4,19,74,55,9,12.16,0,58,19.3,0,0.0,300,61.3,17
23,Bubba Wallace,21,29,23,21,12,36,22.8,-5,73,78,9,12.33,1,38,12.7,0,0.0,299,58.4,16
11,Denny Hamlin,13,4,9,22,2,32,9.5,-26,75,101,31,41.33,0,224,74.7,0,0.0,299,90.7,20
19,Martin Truex Jr,35,23,13,23,9,35,19.4,10,89,79,12,13.48,3,120,40.0,0,0.0,299,62.7,14
2,Brad Keselowski,15,19,24,24,4,27,18.3,-12,83,95,21,25.3,0,90,30.0,0,0.0,299,58.8,16
21,Matt DiBenedetto,11,27,25,25,5,29,19.3,-19,40,59,16,40,0,115,38.3,0,0.0,298,60.7,13
53,Garrett Smithley,36,30,26,26,2,36,27.4,-8,27,35,0,0,0,14,4.7,0,0.0,298,42.2,0
52,Josh Bilicki,34,32,27,27,22,36,30.9,-6,28,34,0,0,0,0,0.0,0,0.0,298,37.8,10
51,JJ Yeley,32,26,28,28,4,32,25.9,-7,53,60,5,9.43,0,13,4.3,0,0.0,298,44.3,0
78,BJ McLeod,31,31,29,29,15,35,30.8,14,34,20,1,2.94,0,0,0.0,0,0.0,295,39.0,0
15,Joey Gase,37,33,30,30,25,38,32.8,1,18,17,0,0,0,0,0.0,0,0.0,295,34.3,0
41,Cole Custer,7,11,32,31,4,33,21.2,-9,33,42,14,42.42,12,127,42.3,0,0.0,252,73.5,6
14,Chase Briscoe,16,13,31,32,1,24,17.8,-15,64,79,31,48.44,0,165,55.0,5,2.2,227,70.4,13
37,Ryan Preece,20,21,33,33,7,33,26.2,-31,50,81,2,4,0,13,4.3,0,0.0,197,46.3,4
66,Chad Finchum,33,34,34,34,31,38,35.1,-7,3,10,0,0,0,0,0.0,0,0.0,157,29.5,0
13,David Starr,38,35,35,35,31,38,34.8,-1,24,25,0,0,0,0,0.0,0,0.0,126,28.0,0
77,Justin Haley,27,36,36,36,8,32,32.5,10,34,24,9,26.47,0,34,11.3,0,0.0,79,37.7,0
17,Chris Buescher,17,37,37,37,12,37,31.3,-9,34,43,14,41.18,0,49,16.3,0,0.0,77,52.7,1
12,Ryan Blaney,10,38,38,38,10,38,36.6,3,35,32,0,0,3,0,0.0,0,0.0,53,33.3,1
00,Quin Houff,39,39,39,39,39,39,39.0,0,0,0,0,0,0,0,0.0,0,0.0,0,26.0,1
