Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
18,Kyle Busch,19,1,6,1,1,30,9.1,16,77,61,36,46.75,19,111,79.3,30,21.4,140,129.8,44
5,Kyle Larson,12,23,5,2,2,34,17.5,56,106,50,23,21.7,4,54,38.6,0,0.0,140,83.7,38
2,Brad Keselowski,11,18,1,3,1,31,8.0,16,68,52,33,48.53,20,113,80.7,31,22.1,140,124.2,50
4,Kevin Harvick,13,27,13,4,2,28,12.1,12,76,64,39,51.32,2,114,81.4,0,0.0,140,96.5,33
23,Bubba Wallace,7,12,7,5,1,25,11.7,13,73,60,44,60.27,1,100,71.4,3,2.1,140,88.1,38
12,Ryan Blaney,16,31,14,6,2,34,16.2,-9,74,83,37,50,13,86,61.4,0,0.0,140,97.7,38
48,Alex Bowman,20,8,15,7,1,24,12.0,5,75,70,32,42.67,4,100,71.4,18,12.9,140,93.8,30
37,Ryan Preece,23,11,8,8,2,32,17.0,22,85,63,25,29.41,0,68,48.6,0,0.0,140,73.8,29
8,Tyler Reddick,10,9,16,9,2,22,11.3,11,73,62,41,56.16,1,113,80.7,0,0.0,140,92.3,31
22,Joey Logano,14,7,17,10,1,29,14.2,10,77,67,38,49.35,3,95,67.9,0,0.0,140,83.1,28
19,Martin Truex Jr,3,4,11,11,1,24,8.8,10,56,46,31,55.36,10,119,85.0,19,13.6,140,98.0,41
24,William Byron,18,19,2,12,1,33,8.5,-2,73,75,42,57.53,16,114,81.4,22,15.7,140,111.5,35
3,Austin Dillon,21,24,18,13,3,34,19.8,-3,77,80,18,23.38,1,40,28.6,0,0.0,140,70.8,24
11,Denny Hamlin,17,22,4,14,1,33,9.9,-2,73,75,35,47.95,8,102,72.9,1,0.7,140,102.1,32
99,Daniel Suarez,8,30,10,15,6,32,15.2,1,67,66,28,41.79,0,88,62.9,0,0.0,140,70.8,24
10,Aric Almirola,5,5,22,16,2,26,9.8,-6,53,59,28,52.83,1,109,77.9,0,0.0,140,90.0,32
34,Michael McDowell,2,16,20,17,1,25,14.4,-26,57,83,17,29.82,1,64,45.7,7,5.0,140,69.8,25
21,Matt DiBenedetto,32,15,21,18,2,32,20.5,-6,75,81,15,20,0,18,12.9,0,0.0,140,60.0,19
17,Chris Buescher,1,17,24,19,1,30,19.6,-33,72,105,17,23.61,6,35,25.0,6,4.3,140,63.0,18
1,Kurt Busch,15,10,3,20,3,30,12.2,8,84,76,34,40.48,1,101,72.1,0,0.0,140,77.0,17
14,Chase Briscoe,24,20,12,21,9,34,19.2,16,93,77,21,22.58,0,34,24.3,0,0.0,140,58.5,16
6,Ryan Newman,37,25,9,22,9,37,20.8,7,78,71,13,16.67,0,26,18.6,0,0.0,140,59.2,15
7,Corey Lajoie,36,21,23,23,7,36,25.3,18,82,64,5,6.1,0,2,1.4,0,0.0,139,48.5,14
41,Cole Custer,38,14,26,24,14,38,22.8,30,93,63,2,2.15,0,4,2.9,0,0.0,139,50.7,13
77,Justin Allgaier,27,26,19,25,15,36,26.4,9,52,43,2,3.85,0,0,0.0,0,0.0,139,43.8,0
42,Ross Chastain,33,6,25,26,2,33,18.0,2,79,77,25,31.65,0,60,42.9,0,0.0,139,57.3,12
9,Chase Elliott,9,3,28,27,1,32,15.1,-36,50,86,25,50,2,80,57.1,0,0.0,139,85.8,16
51,Cody Ware,25,29,27,28,19,33,27.3,-8,57,65,0,0,0,0,0.0,0,0.0,139,40.7,0
78,BJ McLeod,30,32,29,29,24,33,30.1,-15,25,40,0,0,0,0,0.0,0,0.0,138,38.7,0
15,James Davison,28,33,30,30,25,34,31.4,-3,26,29,0,0,0,0,0.0,0,0.0,137,35.8,7
43,Erik Jones,22,28,31,31,14,34,27.0,-4,51,55,2,3.92,0,0,0.0,0,0.0,136,43.7,6
20,Christopher Bell,4,2,33,32,1,34,13.1,-56,36,92,21,58.33,6,92,65.7,3,2.2,135,85.1,12
00,Quin Houff,31,35,34,33,31,37,34.5,-4,8,12,0,0,0,0,0.0,0,0.0,135,30.3,4
38,Anthony Alfredo,26,38,35,34,25,38,36.6,5,15,10,0,0,0,0,0.0,0,0.0,134,27.2,3
52,Josh Bilicki,34,36,36,35,34,38,36.5,4,8,4,0,0,0,0,0.0,0,0.0,132,27.5,2
53,Garrett Smithley,29,34,32,36,27,36,33.3,-22,18,40,0,0,0,0,0.0,0,0.0,122,31.0,0
66,Timmy Hill,35,37,37,37,33,38,37.2,-7,2,9,0,0,0,0,0.0,0,0.0,113,24.7,0
47,Ricky Stenhouse Jr,6,13,38,38,4,28,18.8,-29,58,87,23,39.66,1,58,41.4,0,0.0,111,62.2,5
