Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
9,Chase Elliott,34,6,1,1,1,34,7.1,22,40,18,20,50,12,55,88.7,24,38.7,62,139.0,41
20,Christopher Bell,13,20,3,2,2,35,11.4,26,46,20,19,41.3,5,46,74.2,0,0.0,62,104.4,39
18,Kyle Busch,40,3,2,3,1,40,7.9,-6,34,40,9,26.47,0,47,75.8,4,6.5,62,122.5,35
1,Kurt Busch,16,7,7,4,4,23,11.0,38,52,14,37,71.15,2,50,80.7,0,0.0,62,101.8,41
11,Denny Hamlin,6,15,6,5,3,19,7.7,-9,20,29,18,90,1,57,91.9,0,0.0,62,103.4,37
14,Chase Briscoe,35,17,8,6,5,35,17.0,10,48,38,8,16.67,0,31,50.0,0,0.0,62,88.7,31
42,Ross Chastain,8,4,10,7,3,25,10.1,38,46,8,27,58.7,1,52,83.9,0,0.0,62,100.2,44
8,Tyler Reddick,4,1,11,8,1,21,8.1,22,35,13,27,77.14,3,58,93.6,5,8.1,62,106.2,46
19,Martin Truex Jr,9,8,13,9,1,32,12.8,-10,44,54,17,38.64,1,43,69.4,1,1.6,62,91.9,28
21,Matt DiBenedetto,7,12,9,10,1,28,8.1,-42,25,67,18,72,4,54,87.1,10,16.1,62,107.6,27
3,Austin Dillon,37,22,14,11,9,37,19.4,1,41,40,8,19.51,0,30,48.4,0,0.0,62,76.0,26
47,Ricky Stenhouse Jr,38,34,17,12,12,38,25.1,31,62,31,5,8.06,1,5,8.1,0,0.0,62,66.5,25
2,Brad Keselowski,20,11,16,13,10,33,20.2,38,77,39,7,9.09,0,7,11.3,0,0.0,62,67.5,24
10,Aric Almirola,19,24,15,14,1,34,18.1,-72,22,94,5,22.73,0,25,40.3,1,1.6,62,72.5,23
22,Joey Logano,14,31,12,15,6,34,13.3,16,38,22,23,60.53,0,54,87.1,0,0.0,62,80.5,27
5,Kyle Larson,2,5,4,16,2,17,6.7,4,26,22,23,88.46,2,59,95.2,0,0.0,62,95.3,36
41,Cole Custer,15,25,20,17,12,35,20.8,4,40,36,8,20,0,13,21.0,0,0.0,62,61.0,20
17,Chris Buescher,12,19,18,18,6,25,16.0,-4,34,38,7,20.59,0,21,33.9,0,0.0,62,70.8,19
43,Erik Jones,21,23,23,19,11,29,19.3,-4,38,42,2,5.26,0,9,14.5,0,0.0,62,64.0,18
12,Ryan Blaney,17,26,22,20,2,33,18.5,-44,38,82,4,10.53,0,11,17.7,0,0.0,62,64.5,17
7,Corey Lajoie,23,16,25,21,14,34,23.9,24,72,48,5,6.94,0,5,8.1,0,0.0,62,50.0,16
48,Alex Bowman,10,18,5,22,4,27,11.2,-13,31,44,15,48.39,2,47,75.8,0,0.0,62,84.8,18
52,Josh Bilicki,27,13,29,23,12,37,28.5,41,74,33,3,4.05,0,5,8.1,0,0.0,62,44.8,14
23,Bubba Wallace,36,9,26,24,5,36,22.4,-4,41,45,6,14.63,0,16,25.8,0,0.0,62,58.2,16
77,Justin Haley,22,10,27,25,9,36,25.9,29,63,34,3,4.76,0,5,8.1,0,0.0,62,46.8,0
96,Ty Dillon,39,28,28,26,8,39,27.5,-36,31,67,1,3.23,0,3,4.8,0,0.0,62,45.3,0
4,Kevin Harvick,25,30,21,27,7,35,21.3,6,50,44,5,10,0,8,12.9,0,0.0,62,61.0,14
15,James Davison,26,33,30,28,15,38,31.5,22,53,31,0,0,0,1,1.6,0,0.0,62,39.5,9
16,AJ Allmendinger,3,29,19,29,2,34,17.2,7,39,32,10,25.64,5,25,40.3,0,0.0,62,71.1,0
34,Michael McDowell,18,21,24,30,9,32,21.6,-22,44,66,5,11.36,0,15,24.2,0,0.0,62,56.0,7
51,Cody Ware,29,32,31,31,24,37,32.1,-9,34,43,0,0,0,0,0.0,0,0.0,62,35.8,0
6,Ryan Newman,28,14,33,32,11,33,27.2,11,69,58,3,4.35,0,5,8.1,0,0.0,62,41.7,5
24,William Byron,1,2,34,33,1,34,12.1,-2,24,26,15,62.5,6,45,72.6,15,24.2,62,74.0,23
0,Quin Houff,33,35,32,34,25,39,34.0,6,31,25,0,0,0,0,0.0,0,0.0,62,31.3,3
78,Kyle Tilley,30,36,35,35,30,40,36.7,1,3,2,0,0,0,0,0.0,0,0.0,60,27.3,2
99,Daniel Suarez,11,39,36,36,8,40,37.2,-13,7,20,3,42.86,2,2,3.2,0,0.0,53,43.7,1
38,Anthony Alfredo,24,27,37,37,6,35,28.7,-56,13,69,0,0,0,2,3.2,0,0.0,42,45.3,1
33,Austin Cindric,5,37,38,38,1,39,26.7,-57,11,68,5,45.45,1,19,30.7,2,5.7,35,86.5,0
53,Ryan Eversley,31,38,39,39,23,39,36.6,11,24,13,0,0,0,0,0.0,0,0.0,27,28.5,0
37,Ryan Preece,32,40,40,40,32,37,39.2,-5,8,13,0,0,0,0,0.0,0,0.0,6,24.2,1
