Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
10,Aric Almirola,22,4,3,1,1,26,8.1,19,53,34,36,67.92,22,247,84.3,25,8.5,293,117.0,46
20,Christopher Bell,9,10,5,2,1,12,6.6,-3,45,48,41,91.11,20,293,100.0,0,0.0,293,109.0,40
2,Brad Keselowski,11,1,4,3,1,18,3.3,5,47,42,35,74.47,36,292,99.7,53,18.1,293,129.9,53
22,Joey Logano,15,25,8,4,3,36,20.5,31,58,27,34,58.62,4,115,39.3,0,0.0,293,93.9,33
12,Ryan Blaney,7,5,6,5,1,9,3.8,6,39,33,34,87.18,31,293,100.0,64,21.8,293,121.5,50
4,Kevin Harvick,12,2,7,6,1,18,4.4,-4,26,30,21,80.77,44,290,99.0,66,22.5,293,121.1,47
5,Kyle Larson,10,6,9,7,3,22,8.1,0,53,53,36,67.92,12,274,93.5,0,0.0,293,98.0,35
42,Ross Chastain,20,8,13,8,1,20,8.5,2,40,38,30,75,0,288,98.3,3,1.0,293,94.2,34
48,Alex Bowman,5,12,14,9,3,31,11.2,6,53,47,41,77.36,1,277,94.5,0,0.0,293,84.9,28
11,Denny Hamlin,6,3,17,10,1,26,10.7,22,57,35,26,45.61,24,210,71.7,1,0.3,293,92.5,38
21,Matt DiBenedetto,14,13,1,11,1,16,10.2,-2,56,58,49,87.5,9,292,99.7,20,6.8,293,87.5,28
19,Martin Truex Jr,2,20,18,12,2,37,19.7,28,73,45,14,19.18,1,37,12.6,0,0.0,293,76.6,25
8,Tyler Reddick,8,9,10,13,2,21,8.2,-3,43,46,38,88.37,5,290,99.0,0,0.0,293,91.5,33
41,Cole Custer,21,14,16,14,9,23,14.7,-6,51,57,36,70.59,0,203,69.3,0,0.0,293,76.3,23
47,Ricky Stenhouse Jr,29,16,15,15,11,29,16.5,12,69,57,16,23.19,2,128,43.7,0,0.0,293,74.3,22
1,Kurt Busch,4,11,19,16,1,23,11.2,-17,25,42,13,52,1,244,83.3,2,0.7,292,75.4,22
3,Austin Dillon,13,28,20,17,9,30,19.7,0,42,42,8,19.05,0,80,27.3,0,0.0,292,68.8,20
9,Chase Elliott,3,7,21,18,1,28,8.4,-2,48,50,28,58.33,14,221,75.4,53,18.2,292,97.3,32
43,Erik Jones,24,22,23,19,7,27,20.4,-12,66,78,6,9.09,0,23,7.9,0,0.0,292,62.0,18
99,Daniel Suarez,31,17,22,20,12,31,21.2,10,61,51,3,4.92,0,8,2.7,0,0.0,292,59.2,17
24,William Byron,16,15,2,21,2,25,14.8,7,74,67,37,50,2,172,58.7,0,0.0,292,67.3,16
37,Ryan Preece,25,26,26,22,16,34,23.9,11,73,62,0,0,0,0,0.0,0,0.0,292,53.0,15
7,Corey Lajoie,26,21,25,23,4,34,23.8,-7,77,84,8,10.39,0,12,4.1,0,0.0,292,50.7,14
6,Ryan Newman,28,18,24,24,13,29,21.7,-9,60,69,0,0,0,2,0.7,0,0.0,292,54.7,13
34,Michael McDowell,23,23,27,25,12,29,23.9,-18,49,67,1,2.04,0,12,4.1,0,0.0,292,47.0,12
23,Bubba Wallace,18,27,11,26,3,34,22.3,12,77,65,10,12.99,3,28,9.6,0,0.0,292,52.0,11
14,Chase Briscoe,19,24,12,27,5,32,23.2,-3,74,77,7,9.46,0,22,7.5,0,0.0,291,49.0,10
77,Justin Haley,30,19,29,28,12,33,26.2,-21,50,71,3,6,0,3,1.0,0,0.0,291,42.3,0
17,Chris Buescher,17,30,28,29,12,30,24.1,-2,43,45,4,9.3,4,31,10.6,0,0.0,290,54.8,8
78,BJ McLeod,32,29,30,30,19,37,29.6,-10,7,17,0,0,0,0,0.0,0,0.0,288,39.0,0
51,Cody Ware,34,33,32,31,20,36,33.3,-8,8,16,0,0,0,0,0.0,0,0.0,285,32.2,0
38,Anthony Alfredo,27,32,31,32,23,36,31.8,0,13,13,0,0,0,0,0.0,0,0.0,285,34.8,5
53,Garrett Smithley,33,34,33,33,25,35,33.4,-12,5,17,0,0,0,0,0.0,0,0.0,283,29.8,0
52,Josh Bilicki,35,31,34,34,20,35,31.3,-6,16,22,0,0,0,0,0.0,0,0.0,280,33.3,3
00,Quin Houff,36,35,35,35,19,36,33.3,-17,6,23,0,0,0,0,0.0,0,0.0,187,30.8,2
15,James Davison,37,36,36,36,21,37,35.6,-12,7,19,0,0,0,0,0.0,0,0.0,40,23.7,1
18,Kyle Busch,1,37,37,37,1,36,36.0,0,0,0,0,0,4,8,2.7,6,75.0,8,43.7,1
