Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,4,3,1,1,1,24,4.0,19,41,22,29,70.73,19,88,97.8,27,30.0,90,136.6,56
9,Chase Elliott,11,18,3,2,2,36,14.8,36,76,40,26,34.21,22,49,54.4,0,0.0,90,106.5,38
19,Martin Truex Jr,9,1,2,3,1,24,3.5,-17,38,55,17,44.74,11,86,95.6,34,37.8,90,131.2,44
18,Kyle Busch,20,7,4,4,2,21,8.6,26,60,34,33,55,0,80,88.9,0,0.0,90,109.2,39
11,Denny Hamlin,6,16,6,5,1,30,8.2,27,54,27,31,57.41,14,79,87.8,6,6.7,90,115.8,43
24,William Byron,15,8,5,6,4,32,9.5,20,50,30,25,50,1,76,84.4,0,0.0,90,104.4,37
20,Christopher Bell,7,2,7,7,2,29,10.5,0,62,62,21,33.87,6,65,72.2,0,0.0,90,100.7,39
4,Kevin Harvick,5,5,8,8,2,33,8.3,-29,50,79,12,24,1,82,91.1,0,0.0,90,99.6,37
14,Chase Briscoe,27,6,10,9,2,34,12.1,-5,57,62,12,21.05,0,66,73.3,0,0.0,90,88.2,34
8,Tyler Reddick,13,22,11,10,4,31,13.2,17,56,39,19,33.93,1,52,57.8,0,0.0,90,87.2,34
21,Matt DiBenedetto,14,10,12,11,5,31,11.7,-22,50,72,16,32,1,79,87.8,0,0.0,90,91.1,30
42,Ross Chastain,12,4,9,12,4,34,10.4,-20,49,69,16,32.65,0,78,86.7,0,0.0,90,90.8,30
1,Kurt Busch,17,21,13,13,1,26,14.9,16,62,46,19,30.65,0,49,54.4,2,2.2,90,79.8,24
12,Ryan Blaney,3,14,14,14,3,36,14.7,-16,61,77,14,22.95,0,62,68.9,0,0.0,90,80.5,23
3,Austin Dillon,16,11,16,15,5,29,15.8,8,50,42,14,28,0,41,45.6,0,0.0,90,75.3,24
10,Aric Almirola,8,13,15,16,8,36,16.2,-33,40,73,6,15,0,52,57.8,0,0.0,90,70.0,21
17,Chris Buescher,24,19,18,17,6,28,20.6,6,57,51,9,15.79,0,10,11.1,0,0.0,90,61.7,20
41,Cole Custer,19,29,19,18,4,34,18.4,-9,55,64,9,16.36,0,28,31.1,0,0.0,90,64.3,19
47,Ricky Stenhouse Jr,18,23,17,19,1,32,17.0,2,55,53,6,10.91,0,28,31.1,1,1.1,90,64.5,18
48,Alex Bowman,10,25,20,20,6,33,17.9,9,52,43,8,15.38,0,22,24.4,0,0.0,90,64.0,21
34,Michael McDowell,25,17,21,21,10,34,22.9,14,61,47,0,0,0,1,1.1,0,0.0,90,53.3,16
22,Joey Logano,2,9,25,22,1,36,15.1,-9,28,37,13,46.43,2,53,58.9,11,12.2,90,74.5,27
23,Bubba Wallace,26,24,23,23,9,35,23.7,-33,52,85,6,11.54,0,17,18.9,0,0.0,90,48.7,14
7,Corey Lajoie,29,28,24,24,3,36,23.2,-26,53,79,9,16.98,0,17,18.9,0,0.0,90,52.5,13
6,Ryan Newman,28,12,22,25,11,37,21.1,-36,43,79,6,13.95,0,23,25.6,0,0.0,89,52.2,12
38,Anthony Alfredo,31,27,26,26,12,37,28.1,-38,48,86,2,4.17,0,2,2.2,0,0.0,89,39.3,11
43,Erik Jones,22,30,27,27,6,36,23.2,18,67,49,6,8.96,0,10,11.1,0,0.0,89,45.8,11
37,Ryan Preece,23,20,28,28,13,35,25.4,4,63,59,2,3.17,0,4,4.4,0,0.0,89,50.0,9
77,Justin Haley,30,31,29,29,6,36,26.2,8,58,50,10,17.24,0,12,13.3,0,0.0,89,39.0,0
78,Kyle Tilley,33,36,31,30,19,37,32.5,17,63,46,0,0,0,0,0.0,0,0.0,89,29.7,7
99,Daniel Suarez,21,26,34,31,3,36,26.3,-11,56,67,8,14.29,0,6,6.7,0,0.0,88,49.5,6
00,Quin Houff,35,35,30,32,20,37,32.2,15,56,41,0,0,0,0,0.0,0,0.0,88,27.2,5
52,Josh Bilicki,34,33,32,33,14,35,30.4,12,61,49,0,0,0,1,1.1,0,0.0,88,32.2,4
15,Rc Enerson,37,34,33,34,9,37,31.2,19,68,49,6,8.82,0,4,4.4,0,0.0,88,31.2,3
2,Brad Keselowski,1,15,35,35,1,37,23.9,-15,46,61,10,21.74,0,27,30.0,9,10.3,87,55.7,2
53,Garrett Smithley,32,32,36,36,17,36,32.4,11,49,38,0,0,0,0,0.0,0,0.0,87,26.3,0
51,James Davison,36,37,37,37,12,37,34.6,15,26,11,0,0,0,1,1.1,0,0.0,41,30.3,1
