Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
16,AJ Allmendinger,8,20,7,1,1,36,12.0,0,116,116,27,23.28,3,62,65.3,2,2.1,95,103.0,0
12,Ryan Blaney,16,14,5,2,2,30,12.7,-11,95,106,31,32.63,0,77,81.1,0,0.0,95,90.0,35
5,Kyle Larson,4,1,2,3,1,15,3.7,-10,54,64,34,62.96,19,95,100.0,28,29.5,95,127.7,36
9,Chase Elliott,3,3,8,4,1,23,4.8,-6,80,86,35,43.75,4,92,96.8,14,14.7,95,115.8,35
21,Matt DiBenedetto,15,25,4,5,1,38,13.7,20,101,81,29,28.71,0,61,64.2,1,1.1,95,82.2,38
1,Kurt Busch,20,16,6,6,1,39,16.5,-1,126,127,22,17.46,2,47,49.5,0,0.0,95,82.0,31
43,Erik Jones,28,24,19,7,4,38,23.6,25,106,81,11,10.38,0,10,10.5,0,0.0,95,59.8,37
77,Justin Haley,29,31,14,8,6,36,22.4,60,142,82,20,14.08,0,31,32.6,0,0.0,95,64.5,0
33,Austin Cindric,13,13,21,9,8,38,21.7,-23,115,138,12,10.43,3,23,24.2,0,0.0,95,65.7,0
6,Ryan Newman,32,37,27,10,10,39,29.6,-28,62,90,4,6.45,0,5,5.3,0,0.0,95,54.0,27
47,Ricky Stenhouse Jr,22,29,18,11,4,37,21.0,38,136,98,19,13.97,0,22,23.2,0,0.0,95,66.8,37
17,Chris Buescher,19,23,25,12,7,34,22.2,-28,92,120,10,10.87,0,9,9.5,0,0.0,95,63.5,25
23,Bubba Wallace,27,12,15,13,2,37,19.3,-34,89,123,17,19.1,0,30,31.6,0,0.0,95,66.3,24
4,Kevin Harvick,25,15,28,14,11,33,20.9,-9,102,111,10,9.8,0,23,24.2,0,0.0,95,65.5,23
19,Martin Truex Jr,6,4,23,15,4,39,17.7,-22,128,150,25,19.53,5,46,48.4,0,0.0,95,77.7,22
7,Corey Lajoie,26,27,17,16,7,39,25.4,24,108,84,4,3.7,0,6,6.3,0,0.0,95,52.0,25
48,Alex Bowman,24,11,12,17,7,32,16.3,-22,96,118,20,20.83,0,55,57.9,0,0.0,95,75.3,20
52,Josh Bilicki,36,28,22,18,10,36,27.3,39,115,76,3,2.61,0,8,8.4,0,0.0,95,47.5,19
10,Aric Almirola,18,38,29,19,18,39,32.6,-33,50,83,0,0,0,0,0.0,0,0.0,95,58.5,18
18,Kyle Busch,21,5,26,20,3,28,10.6,1,89,88,29,32.58,2,72,75.8,0,0.0,95,86.8,17
8,Tyler Reddick,11,21,24,21,1,30,15.8,46,107,61,25,23.36,0,43,45.3,6,6.3,95,77.1,36
0,Quin Houff,38,32,20,22,10,38,29.6,14,120,106,2,1.67,0,1,1.1,0,0.0,95,40.2,15
11,Denny Hamlin,14,9,1,23,1,29,8.5,-36,74,110,31,41.89,8,83,87.4,27,28.4,95,96.5,14
2,Brad Keselowski,31,35,16,24,1,39,25.7,-17,97,114,8,8.25,0,17,17.9,2,2.1,95,47.7,18
41,Cole Custer,10,8,10,25,4,26,10.5,-24,81,105,29,35.8,1,79,83.2,0,0.0,94,87.4,12
14,Chase Briscoe,2,6,3,26,1,34,10.4,-65,86,151,22,25.58,8,70,73.7,12,12.8,94,81.3,13
66,Timmy Hill,40,34,31,27,25,40,34.9,14,79,65,0,0,0,0,0.0,0,0.0,94,31.5,0
53,Garrett Smithley,39,33,30,28,18,39,33.0,4,105,101,2,1.9,0,0,0.0,0,0.0,94,32.7,0
42,Ross Chastain,9,17,11,29,7,38,16.8,-27,95,122,19,20,3,57,60.0,0,0.0,93,77.9,8
34,Michael McDowell,12,18,9,30,1,36,18.2,6,89,83,9,10.11,1,30,31.6,1,1.1,88,72.6,16
3,Austin Dillon,23,26,13,31,1,30,18.4,46,108,62,14,12.96,0,33,34.7,1,1.1,88,69.3,23
15,James Davison,34,30,32,32,9,38,28.9,39,110,71,5,4.55,0,10,10.5,0,0.0,80,47.3,5
24,William Byron,1,2,33,33,1,21,10.7,-19,59,78,27,45.76,1,75,79.0,1,1.3,77,98.8,4
22,Joey Logano,7,7,34,34,2,27,14.9,-24,84,108,26,30.95,1,61,64.2,0,0.0,77,89.3,3
37,Ryan Preece,30,22,35,35,2,30,21.6,61,129,68,16,12.4,0,21,22.1,0,0.0,77,63.0,16
20,Christopher Bell,17,10,36,36,6,32,19.9,-25,90,115,17,18.89,0,32,33.7,0,0.0,77,77.2,1
99,Daniel Suarez,5,19,37,37,5,35,20.7,-38,78,116,5,6.41,1,31,32.6,0,0.0,77,72.8,1
38,Anthony Alfredo,33,40,38,38,33,40,39.1,-5,3,8,0,0,0,0,0.0,0,0.0,68,33.5,1
78,Andy Lally,35,36,39,39,8,39,33.0,43,103,60,5,4.85,0,7,7.4,0,0.0,55,40.2,0
51,Cody Ware,37,39,40,40,14,39,35.6,24,75,51,2,2.67,0,1,1.1,0,0.0,46,26.3,0
