Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
12,Ryan Blaney,3,10,5,1,1,25,9.3,-5,89,94,54,60.67,2,190,95.0,8,4.0,200,106.1,40
24,William Byron,18,8,1,2,1,28,8.3,28,141,113,77,54.61,25,177,88.5,18,9.0,200,114.4,43
5,Kyle Larson,1,2,2,3,1,24,3.2,3,85,82,53,62.35,14,194,97.0,70,35.0,200,132.9,51
1,Kurt Busch,6,11,4,4,1,24,7.5,-5,92,97,52,56.52,10,180,90.0,1,0.5,200,105.3,36
11,Denny Hamlin,9,6,3,5,1,20,5.3,18,95,77,70,73.68,20,198,99.0,10,5.0,200,118.8,45
21,Matt DiBenedetto,4,7,17,6,1,25,8.6,0,107,107,62,57.94,9,177,88.5,1,0.5,200,102.7,36
18,Kyle Busch,7,4,15,7,1,36,9.3,18,108,90,60,55.56,8,176,88.0,13,6.5,200,101.2,42
9,Chase Elliott,2,1,13,8,1,20,6.3,10,100,90,61,61,11,188,94.0,68,34.0,200,117.7,46
2,Brad Keselowski,20,9,12,9,1,28,12.0,34,148,114,55,37.16,4,138,69.0,6,3.0,200,86.6,33
19,Martin Truex Jr,5,12,7,10,2,36,14.1,-8,130,138,60,46.15,2,140,70.0,0,0.0,200,77.7,27
14,Chase Briscoe,21,22,20,11,5,33,21.7,-8,146,154,17,11.64,4,22,11.0,0,0.0,200,60.9,26
47,Ricky Stenhouse Jr,12,20,21,12,8,35,20.1,11,141,130,20,14.18,2,35,17.5,0,0.0,200,73.2,25
20,Christopher Bell,28,5,11,13,1,28,12.4,19,96,77,38,39.58,10,133,66.5,3,1.5,200,83.5,33
4,Kevin Harvick,8,30,9,14,4,34,14.4,5,126,121,53,42.06,6,140,70.0,0,0.0,200,79.3,23
17,Chris Buescher,11,25,16,15,2,33,20.2,-16,124,140,34,27.42,2,53,26.5,0,0.0,200,65.2,22
48,Alex Bowman,10,17,6,16,3,29,12.9,-9,107,116,47,43.93,8,120,60.0,0,0.0,200,78.7,21
10,Aric Almirola,23,16,22,17,10,31,20.1,-3,156,159,14,8.97,2,13,6.5,0,0.0,200,64.7,20
43,Erik Jones,13,26,28,18,13,32,23.7,4,97,93,6,6.19,0,16,8.0,0,0.0,200,56.3,19
23,Bubba Wallace,15,13,24,19,3,36,18.9,8,149,141,27,18.12,4,58,29.0,0,0.0,200,66.1,18
34,Michael McDowell,25,18,14,20,7,29,17.8,-8,131,139,21,16.03,1,64,32.0,0,0.0,200,68.8,17
37,Ryan Preece,32,19,19,21,4,33,20.8,26,166,140,9,5.42,0,20,10.0,0,0.0,200,57.2,16
99,Daniel Suarez,30,21,25,22,4,34,21.4,-29,111,140,12,10.81,0,23,11.5,0,0.0,200,52.3,15
41,Cole Custer,27,27,23,23,8,31,25.0,-31,94,125,3,3.19,1,13,6.5,0,0.0,200,48.6,14
6,Ryan Newman,16,23,18,24,5,28,18.5,-18,117,135,29,24.79,4,53,26.5,0,0.0,200,63.4,13
77,Justin Haley,17,31,27,25,6,34,27.0,-16,87,103,14,16.09,0,9,4.5,0,0.0,200,42.3,0
7,Josh Berry,24,29,26,26,5,35,26.7,6,114,108,12,10.53,0,8,4.0,0,0.0,200,43.5,0
51,Cody Ware,37,32,30,27,17,37,30.2,-4,44,48,0,0,1,0,0.0,0,0.0,199,37.8,0
78,BJ McLeod,36,33,29,28,18,36,30.8,-5,38,43,0,0,0,0,0.0,0,0.0,198,35.0,0
8,Tyler Reddick,14,14,10,29,3,29,11.6,-4,120,124,86,71.67,3,185,92.5,0,0.0,198,72.7,11
00,Quin Houff,31,34,31,30,12,35,32.6,-5,23,28,0,0,0,1,0.5,0,0.0,196,32.2,7
52,Josh Bilicki,29,36,32,31,22,36,33.6,-7,14,21,0,0,0,0,0.0,0,0.0,195,29.7,6
53,Garrett Smithley,33,35,33,32,32,36,34.6,-3,8,11,0,0,0,0,0.0,0,0.0,194,27.7,0
22,Joey Logano,19,15,8,33,2,33,11.8,20,124,104,52,41.94,4,158,79.0,0,0.0,188,74.3,9
38,Anthony Alfredo,35,28,34,34,14,35,29.7,-2,61,63,0,0,0,2,1.0,0,0.0,178,36.5,3
42,Ross Chastain,22,24,35,35,8,36,27.2,-25,60,85,5,8.33,0,15,7.5,0,0.0,152,43.7,2
3,Austin Dillon,26,3,36,36,1,26,18.4,7,59,52,34,57.63,6,101,50.5,2,1.7,120,83.7,14
15,Joey Gase,34,37,37,37,34,37,37.0,0,0,0,0,0,0,0,0.0,0,0.0,29,23.2,0
