Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
12,Ryan Blaney,6,6,2,1,1,28,10.8,-9,295,304,221,74.92,1,127,77.0,7,4.2,165,96.0,45
17,Chris Buescher,13,3,4,2,1,31,13.5,-12,326,338,221,67.79,1,110,66.7,8,4.9,165,85.8,36
23,Bubba Wallace,20,12,25,3,1,36,14.0,8,355,347,191,53.8,2,87,52.7,8,4.9,165,96.4,36
6,Ryan Newman,23,34,26,4,1,36,26.6,-11,148,159,9,6.08,4,16,9.7,2,1.2,165,65.7,33
37,Ryan Preece,24,24,19,5,1,37,17.9,37,363,326,149,41.05,5,52,31.5,0,0.0,165,84.2,34
8,Tyler Reddick,17,2,29,6,2,35,16.7,-2,266,268,101,37.97,3,52,31.5,0,0.0,165,88.9,38
77,Justin Haley,28,25,20,7,3,31,20.7,-17,224,241,71,31.7,3,36,21.8,0,0.0,165,71.1,0
48,Alex Bowman,15,29,17,8,1,36,15.2,25,373,348,210,56.3,3,91,55.2,0,0.0,165,89.2,29
9,Chase Elliott,5,16,11,9,1,23,8.0,-1,332,333,273,82.23,4,148,89.7,36,21.8,165,106.0,38
78,BJ McLeod,30,30,30,10,10,37,31.0,-23,58,81,0,0,1,1,0.6,0,0.0,165,52.0,0
52,Josh Bilicki,36,32,24,11,11,36,31.6,-24,41,65,0,0,0,2,1.2,0,0.0,165,47.8,26
43,Erik Jones,21,22,9,12,1,36,24.0,-5,205,210,38,18.54,8,20,12.1,0,0.0,165,62.1,25
1,Kurt Busch,8,36,8,13,4,37,22.1,-5,232,237,104,44.83,7,52,31.5,0,0.0,165,63.0,24
11,Denny Hamlin,3,18,14,14,1,33,11.3,6,311,305,200,64.31,5,113,68.5,7,4.2,165,95.2,32
10,Aric Almirola,19,35,3,15,2,36,22.1,24,241,217,36,14.94,7,21,12.7,0,0.0,165,64.1,22
4,Kevin Harvick,11,17,12,16,1,34,16.4,-11,335,346,182,54.33,5,73,44.2,4,2.4,165,69.7,21
7,Corey Lajoie,33,4,15,17,1,35,14.7,45,354,309,168,47.46,4,88,53.3,1,0.6,164,78.0,24
3,Austin Dillon,27,11,21,18,1,28,8.5,39,312,273,226,72.44,1,143,86.7,3,1.8,164,100.4,33
42,Ross Chastain,29,19,10,19,1,38,11.9,32,339,307,247,72.86,5,120,72.7,14,8.5,164,86.8,25
99,Daniel Suarez,26,26,28,20,3,36,25.4,28,148,120,26,17.57,5,14,8.5,0,0.0,164,59.4,17
5,Kyle Larson,1,21,18,21,1,32,18.7,5,304,299,105,34.54,6,51,30.9,0,0.0,164,73.3,22
14,Chase Briscoe,16,14,27,22,4,36,19.4,-8,317,325,120,37.85,5,60,36.4,0,0.0,164,74.4,15
47,Ricky Stenhouse Jr,12,8,16,23,1,28,9.9,5,298,293,223,74.83,3,133,80.6,0,0.0,164,95.6,18
22,Joey Logano,22,1,1,24,1,36,11.9,1,254,253,161,63.39,3,103,62.4,37,22.6,164,84.2,26
41,Cole Custer,25,15,5,25,1,33,16.6,-1,312,313,126,40.38,3,69,41.8,0,0.0,164,65.7,12
21,Matt DiBenedetto,9,23,6,26,1,31,22.1,-51,184,235,87,47.28,4,37,22.4,0,0.0,164,52.6,11
38,Anthony Alfredo,32,38,37,27,27,39,37.1,4,8,4,0,0,1,0,0.0,0,0.0,163,37.0,10
66,David Starr,40,37,34,28,28,40,36.4,-6,13,19,0,0,0,0,0.0,0,0.0,163,32.2,0
51,Cody Ware,31,27,36,29,2,37,30.5,-33,103,136,1,0.97,3,2,1.2,0,0.0,163,39.8,0
19,Martin Truex Jr,7,13,35,30,1,35,12.2,-5,275,280,232,84.36,2,128,77.6,13,8.0,163,85.7,13
53,Garrett Smithley,34,31,33,31,15,37,31.9,-38,51,89,0,0,0,1,0.6,0,0.0,163,36.3,0
15,Joey Gase,37,33,38,32,10,38,33.6,-26,49,75,0,0,1,1,0.6,0,0.0,162,32.5,0
20,Christopher Bell,14,5,7,33,1,26,10.5,13,343,330,250,72.89,4,129,78.2,8,5.1,157,81.6,5
2,Brad Keselowski,10,10,23,34,1,35,16.5,-3,319,322,213,66.77,1,98,59.4,0,0.0,156,63.3,3
18,Kyle Busch,4,7,13,35,1,33,8.9,5,282,277,239,84.75,1,147,89.1,5,3.2,156,94.3,13
16,Kaz Grala,38,28,22,36,5,38,28.3,7,166,159,0,0,5,4,2.4,0,0.0,156,41.4,0
96,Landon Cassill,39,9,31,37,2,39,22.9,-15,255,270,84,32.94,3,34,20.6,0,0.0,146,66.8,0
24,William Byron,2,20,32,38,1,29,13.7,-9,263,272,199,75.67,1,112,67.9,12,8.2,146,86.1,9
00,Quin Houff,35,39,39,39,35,40,39.3,-8,1,9,0,0,2,0,0.0,0,0.0,136,25.2,1
34,Michael McDowell,18,40,40,40,16,33,37.6,21,42,21,0,0,5,0,0.0,0,0.0,23,36.1,1
