Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
19,Martin Truex Jr,3,3,1,1,1,37,7.0,-11,88,99,48,54.55,43,353,88.3,80,20.0,400,125.5,51
11,Denny Hamlin,2,1,2,2,1,23,1.8,1,65,64,35,53.85,72,399,99.8,197,49.3,400,138.9,55
20,Christopher Bell,10,8,3,3,1,19,7.7,5,87,82,59,67.82,74,389,97.3,10,2.5,400,108.9,39
9,Chase Elliott,13,15,4,4,1,17,6.5,4,73,69,54,73.97,30,396,99.0,58,14.5,400,117.6,42
22,Joey Logano,6,4,5,5,2,21,4.9,2,69,67,49,71.01,8,396,99.0,0,0.0,400,112.7,46
5,Kyle Larson,1,7,8,6,1,35,8.2,26,96,70,60,62.5,33,367,91.8,8,2.0,400,100.2,45
42,Ross Chastain,17,5,6,7,1,17,7.1,15,89,74,71,79.78,12,399,99.8,4,1.0,400,102.4,39
4,Kevin Harvick,5,9,7,8,3,23,8.9,-7,73,80,41,56.16,5,391,97.8,0,0.0,400,93.6,32
18,Kyle Busch,15,2,9,9,1,32,7.3,21,90,69,51,56.67,15,363,90.8,39,9.8,400,105.5,37
12,Ryan Blaney,8,13,11,10,2,15,9.1,-6,70,76,49,70,3,400,100.0,0,0.0,399,87.5,33
3,Austin Dillon,19,14,10,11,5,28,13.0,2,83,81,37,44.58,6,371,92.8,0,0.0,399,78.8,26
48,Alex Bowman,12,12,13,12,6,19,11.9,-8,68,76,47,69.12,3,398,99.5,0,0.0,399,82.3,27
2,Brad Keselowski,7,10,12,13,3,17,9.3,-9,60,69,45,75,1,399,99.8,0,0.0,399,85.4,28
10,Aric Almirola,9,6,14,14,6,23,10.9,-10,83,93,48,57.83,5,344,86.0,0,0.0,399,84.9,27
8,Tyler Reddick,11,16,15,15,7,28,14.8,1,79,78,15,18.99,5,218,54.5,0,0.0,398,79.1,22
14,Chase Briscoe,26,17,17,16,7,29,19.1,-3,96,99,8,8.33,1,25,6.3,0,0.0,398,64.9,21
99,Daniel Suarez,22,18,16,17,14,32,19.7,10,100,90,3,3,11,46,11.5,0,0.0,398,61.7,20
21,Matt DiBenedetto,28,24,22,18,1,30,19.2,23,131,108,27,20.61,10,64,16.0,0,0.0,398,68.6,19
24,William Byron,14,11,18,19,4,25,16.0,-8,82,90,31,37.8,3,188,47.0,0,0.0,398,68.8,18
6,Ryan Newman,24,22,19,20,13,30,20.6,-7,90,97,3,3.33,0,10,2.5,0,0.0,398,60.0,17
43,Erik Jones,31,23,20,21,12,31,21.1,1,87,86,0,0,1,2,0.5,0,0.0,398,61.9,16
41,Cole Custer,21,20,23,22,7,36,23.2,12,132,120,9,6.82,8,10,2.5,0,0.0,397,49.9,15
47,Ricky Stenhouse Jr,23,21,21,23,3,26,19.2,-2,109,111,12,11.01,5,17,4.3,0,0.0,397,64.6,14
17,Chris Buescher,18,26,24,24,11,31,25.7,-16,90,106,2,2.22,1,1,0.3,0,0.0,396,46.9,13
37,Ryan Preece,20,25,25,25,17,31,25.1,10,90,80,0,0,0,0,0.0,0,0.0,396,49.7,12
38,Anthony Alfredo,30,29,26,26,5,32,27.9,-5,91,96,3,3.3,0,2,0.5,0,0.0,396,41.3,11
77,Justin Haley,29,30,27,27,18,33,28.0,-13,70,83,0,0,0,0,0.0,0,0.0,396,41.5,0
34,Michael McDowell,16,28,29,28,12,31,25.5,-12,80,92,3,3.75,3,4,1.0,0,0.0,395,56.6,9
7,Corey Lajoie,25,27,28,29,4,31,25.2,-16,81,97,5,6.17,1,5,1.3,0,0.0,395,50.4,8
78,BJ McLeod,32,31,30,30,10,35,30.2,-4,60,64,2,3.33,0,0,0.0,0,0.0,393,37.0,0
51,Garrett Smithley,36,33,32,31,30,37,33.0,4,28,24,0,0,0,0,0.0,0,0.0,389,30.5,0
23,Bubba Wallace,27,19,31,32,9,32,25.6,21,91,70,3,3.3,3,1,0.3,0,0.0,388,41.6,5
15,Joey Gase,34,36,33,33,33,37,34.7,-4,20,24,0,0,0,0,0.0,0,0.0,387,27.2,0
53,JJ Yeley,37,32,34,34,1,37,32.3,-9,32,41,0,0,0,2,0.5,0,0.0,386,29.7,0
0,Quin Houff,35,34,35,35,30,37,34.7,0,21,21,0,0,0,0,0.0,0,0.0,386,28.5,2
52,Josh Bilicki,33,35,36,36,28,36,35.1,-8,11,19,0,0,0,0,0.0,0,0.0,385,28.3,1
1,Kurt Busch,4,37,37,37,1,4,33.5,0,3,3,3,100,2,40,10.0,4,10.0,40,40.4,1
