Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,5,1,3,1,1,14,2.5,9,31,22,30,96.77,97,500,100.0,175,35.0,500,141.2,59
4,Kevin Harvick,8,6,2,2,1,14,3.7,1,31,30,31,100,60,500,100.0,71,14.2,500,123.2,45
24,William Byron,14,4,4,3,2,18,7.7,21,72,51,72,100,19,500,100.0,0,0.0,500,104.8,42
12,Ryan Blaney,7,7,5,4,1,15,5.1,20,58,38,58,100,34,500,100.0,45,9.0,500,116.6,43
48,Alex Bowman,11,15,7,5,4,19,10.4,0,40,40,39,97.5,14,442,88.4,0,0.0,500,93.2,32
2,Brad Keselowski,10,3,9,6,1,17,7.4,8,57,49,56,98.25,28,497,99.4,10,2.0,500,104.7,46
19,Martin Truex Jr,1,16,11,7,1,16,10.0,-32,41,73,41,100,24,482,96.4,5,1.0,500,93.1,32
43,Erik Jones,22,13,10,8,2,22,13.7,5,83,78,48,57.83,13,315,63.0,0,0.0,500,86.4,29
11,Denny Hamlin,2,2,19,9,1,22,5.5,27,44,17,33,75,50,440,88.0,65,13.0,500,113.9,47
21,Matt DiBenedetto,19,19,13,10,5,23,16.8,-4,88,92,25,28.41,4,146,29.2,0,0.0,500,76.5,27
22,Joey Logano,3,12,12,11,3,25,13.5,1,85,84,61,71.76,2,333,66.6,0,0.0,500,83.4,26
8,Tyler Reddick,13,9,17,12,5,27,16.2,10,71,61,33,46.48,3,250,50.0,0,0.0,500,79.1,27
14,Chase Briscoe,20,20,14,13,4,24,16.5,-9,65,74,21,32.31,2,155,31.0,0,0.0,500,75.9,24
42,Ross Chastain,17,22,20,14,11,23,18.6,-2,81,83,13,16.05,2,37,7.4,0,0.0,500,69.2,23
3,Austin Dillon,18,17,16,15,8,22,15.9,1,58,57,26,44.83,1,252,50.4,0,0.0,500,76.4,22
23,Bubba Wallace,28,11,15,16,4,28,17.6,1,66,65,35,53.03,3,246,49.2,0,0.0,500,65.8,21
37,Ryan Preece,27,18,21,17,5,30,21.4,-2,86,88,10,11.63,2,44,8.8,0,0.0,500,61.2,20
10,Aric Almirola,12,23,18,18,3,27,13.9,-11,66,77,26,39.39,1,332,66.4,0,0.0,500,77.7,19
1,Kurt Busch,15,21,22,19,14,26,21.1,-8,49,57,0,0,0,0,0.0,0,0.0,500,60.7,18
47,Ricky Stenhouse Jr,23,14,23,20,7,26,18.1,14,80,66,32,40,1,165,33.0,0,0.0,499,66.4,17
18,Kyle Busch,9,10,6,21,3,26,9.3,-9,57,66,49,85.96,13,448,89.6,0,0.0,499,87.2,21
99,Daniel Suarez,21,27,24,22,21,30,25.6,9,46,37,0,0,0,0,0.0,0,0.0,498,52.0,15
17,Chris Buescher,25,24,25,23,9,30,25.2,-6,61,67,0,0,1,1,0.2,0,0.0,498,49.2,14
34,Michael McDowell,16,25,26,24,14,26,22.0,-8,49,57,3,6.12,2,35,7.0,0,0.0,498,56.4,13
9,Chase Elliott,4,5,1,25,1,26,7.4,1,59,58,45,76.27,34,418,83.6,129,26.0,497,99.7,26
7,Corey Lajoie,31,28,27,26,26,32,27.6,2,16,14,0,0,0,0,0.0,0,0.0,497,44.7,11
51,JJ Yeley,35,26,28,27,10,36,28.2,3,21,18,0,0,0,1,0.2,0,0.0,495,44.7,0
41,Cole Custer,26,30,29,28,23,35,28.4,0,13,13,0,0,0,0,0.0,0,0.0,494,50.7,9
20,Christopher Bell,6,8,8,29,1,29,9.2,-20,58,78,57,98.28,10,461,92.2,0,0.0,493,80.4,14
53,Garrett Smithley,36,31,30,30,30,36,32.1,-3,9,12,0,0,0,0,0.0,0,0.0,487,36.5,0
52,Josh Bilicki,33,32,31,31,30,36,32.8,-4,9,13,0,0,0,0,0.0,0,0.0,482,31.8,6
66,David Starr,38,33,32,32,32,38,34.5,-1,1,2,0,0,0,0,0.0,0,0.0,482,29.8,0
15,James Davison,37,34,33,33,33,38,35.5,2,3,1,0,0,0,0,0.0,0,0.0,474,27.5,4
00,Quin Houff,34,29,34,34,29,36,31.8,-1,4,5,0,0,0,0,0.0,0,0.0,375,36.0,3
38,Anthony Alfredo,30,35,35,35,27,37,34.4,-3,11,14,0,0,0,0,0.0,0,0.0,313,33.0,2
77,Justin Haley,29,36,36,36,29,35,34.4,0,15,15,0,0,0,0,0.0,0,0.0,216,29.5,0
78,BJ McLeod,32,37,37,37,29,32,34.3,-2,19,21,0,0,0,0,0.0,0,0.0,215,31.7,0
6,Ryan Newman,24,38,38,38,21,38,33.1,-8,7,15,0,0,0,0,0.0,0,0.0,177,39.3,1
