Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,10,31,2,1,1,37,10.8,77,116,39,39,33.62,16,77,70.6,8,7.3,109,117.6,45
8,Tyler Reddick,29,6,3,2,2,38,9.9,1,89,88,40,44.94,13,84,77.1,0,0.0,109,120.2,35
17,Chris Buescher,16,8,4,3,1,34,11.3,-2,72,74,34,47.22,2,77,70.6,1,0.9,109,104.9,34
18,Kyle Busch,9,21,8,4,1,26,10.5,15,78,63,29,37.18,8,78,71.6,22,20.2,109,108.8,47
11,Denny Hamlin,1,3,1,5,1,29,5.9,-8,51,59,28,54.9,12,103,94.5,25,22.9,109,121.1,32
21,Matt DiBenedetto,30,10,7,6,2,38,16.7,-14,102,116,17,16.67,0,51,46.8,0,0.0,109,84.7,31
22,Joey Logano,3,19,5,7,1,35,11.5,44,77,33,26,33.77,2,74,67.9,4,3.7,109,93.5,42
20,Christopher Bell,4,12,12,8,4,30,16.0,-45,101,146,32,31.68,0,48,44.0,0,0.0,109,82.7,29
12,Ryan Blaney,6,24,9,9,1,26,9.1,41,82,41,42,51.22,1,93,85.3,10,9.2,109,103.1,43
48,Alex Bowman,12,34,19,10,3,37,16.5,64,107,43,31,28.97,1,60,55.1,0,0.0,109,78.9,29
24,William Byron,11,1,6,11,1,23,5.2,-13,67,80,38,56.72,9,106,97.3,30,27.5,109,124.2,30
9,Chase Elliott,8,18,15,12,1,37,17.3,47,95,48,31,32.63,9,55,50.5,2,1.8,109,82.3,44
99,Daniel Suarez,25,4,10,13,3,39,13.4,-13,69,82,22,31.88,0,80,73.4,0,0.0,109,82.7,24
23,Bubba Wallace,15,23,17,14,7,38,23.4,-22,96,118,10,10.42,0,15,13.8,0,0.0,109,57.8,23
3,Austin Dillon,14,2,11,15,2,32,8.6,-15,60,75,30,50,1,100,91.7,0,0.0,109,102.4,22
34,Michael McDowell,19,32,21,16,3,37,18.8,-13,87,100,8,9.2,1,32,29.4,0,0.0,109,66.9,23
43,Erik Jones,17,27,16,17,6,37,18.4,14,108,94,16,14.81,0,44,40.4,0,0.0,109,72.2,20
41,Cole Custer,23,17,18,18,7,38,21.0,-45,85,130,9,10.59,2,24,22.0,0,0.0,109,59.8,19
37,Ryan Preece,31,15,23,19,5,38,24.2,-13,99,112,10,10.1,0,11,10.1,0,0.0,109,54.0,18
2,Brad Keselowski,2,25,28,20,2,39,18.8,-10,90,100,9,10,0,26,23.9,0,0.0,109,67.5,21
47,Ricky Stenhouse Jr,18,30,20,21,8,36,22.5,31,114,83,16,14.04,0,20,18.4,0,0.0,109,54.8,16
14,Chase Briscoe,22,13,27,22,10,38,21.6,-17,110,127,12,10.91,0,18,16.5,0,0.0,109,59.8,15
42,Ross Chastain,27,11,29,23,9,37,20.1,-36,91,127,11,12.09,0,40,36.7,0,0.0,109,59.5,14
10,Aric Almirola,21,14,24,24,9,39,21.7,-36,90,126,7,7.78,0,26,23.9,0,0.0,109,51.3,13
1,Kurt Busch,13,7,22,25,1,26,11.5,-24,70,94,30,42.86,0,75,68.8,2,1.8,109,77.7,17
38,Anthony Alfredo,20,20,25,26,3,39,26.8,-28,90,118,5,5.56,0,5,4.6,0,0.0,109,45.5,11
52,Joey Hand,36,28,26,27,12,39,28.9,-23,98,121,1,1.02,0,1,0.9,0,0.0,109,42.3,0
15,Josh Bilicki,37,29,30,28,12,38,28.7,15,106,91,3,2.83,0,2,1.8,0,0.0,109,42.0,0
19,Martin Truex Jr,5,22,14,29,3,34,18.0,14,102,88,17,16.67,0,39,35.8,0,0.0,109,61.7,18
0,Quin Houff,28,36,32,30,21,37,32.9,-10,55,65,0,0,0,0,0.0,0,0.0,109,33.2,7
78,Scott Heckert,35,26,31,31,17,37,31.6,-2,72,74,0,0,0,0,0.0,0,0.0,109,33.0,6
66,Timmy Hill,39,37,33,32,25,39,35.2,12,36,24,0,0,0,0,0.0,0,0.0,108,27.3,0
4,Kevin Harvick,7,16,13,33,2,28,12.4,7,73,66,38,52.05,1,85,78.0,0,0.0,98,83.3,13
53,Garrett Smithley,34,38,36,34,20,39,36.4,4,24,20,0,0,0,0,0.0,0,0.0,96,28.0,0
7,Corey Lajoie,26,9,34,35,1,34,19.6,2,99,97,13,13.13,0,42,38.5,0,0.0,93,56.2,2
51,Cody Ware,32,33,35,36,15,37,32.2,2,79,77,1,1.27,0,0,0.0,0,0.0,90,32.0,0
77,Justin Haley,38,35,37,37,10,39,32.2,-1,68,69,1,1.47,0,3,2.8,0,0.0,66,33.7,0
16,AJ Allmendinger,33,5,38,38,1,36,23.8,-5,57,62,20,35.09,3,40,36.7,5,8.8,57,70.4,0
6,Ryan Newman,24,39,39,39,14,37,36.6,2,32,30,1,3.13,0,1,0.9,0,0.0,19,30.8,1
