Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,1,1,1,1,1,16,2.1,5,34,29,32,94.12,104,334,100.0,256,76.7,334,150.0,58
24,William Byron,12,2,2,2,1,14,2.5,4,51,47,43,84.31,57,334,100.0,55,16.5,334,125.1,50
20,Christopher Bell,11,11,14,3,2,20,11.7,-1,70,71,55,78.57,3,314,94.0,0,0.0,334,92.2,34
2,Brad Keselowski,7,8,3,4,2,28,7.9,12,76,64,62,81.58,11,279,83.5,0,0.0,334,101.0,40
4,Kevin Harvick,24,9,9,5,2,31,9.4,-1,93,94,82,88.17,14,294,88.0,0,0.0,334,101.1,39
12,Ryan Blaney,4,4,5,6,2,15,5.3,13,76,63,75,98.68,22,334,100.0,0,0.0,334,112.7,48
9,Chase Elliott,6,14,7,7,2,24,10.3,9,97,88,70,72.16,5,302,90.4,0,0.0,334,95.0,33
18,Kyle Busch,3,3,10,8,1,33,8.0,9,83,74,71,85.54,11,309,92.5,20,6.0,334,103.0,40
8,Tyler Reddick,9,13,4,9,2,17,6.0,-8,65,73,60,92.31,20,332,99.4,0,0.0,334,109.4,32
99,Daniel Suarez,19,12,8,10,7,26,15.1,0,89,89,54,60.67,0,199,59.6,0,0.0,334,76.5,27
11,Denny Hamlin,2,5,6,11,1,16,7.5,0,73,73,69,94.52,1,331,99.1,2,0.6,334,101.9,34
43,Erik Jones,21,20,15,12,10,25,15.2,-1,86,87,39,45.35,5,166,49.7,0,0.0,334,80.5,25
21,Matt DiBenedetto,13,19,13,13,2,22,14.1,-17,64,81,33,51.56,0,173,51.8,0,0.0,334,81.0,24
3,Austin Dillon,15,18,19,14,7,22,16.6,-14,55,69,16,29.09,6,74,22.2,0,0.0,334,75.2,23
14,Chase Briscoe,26,10,16,15,5,32,13.5,16,71,55,49,69.01,0,202,60.5,0,0.0,334,77.7,30
1,Kurt Busch,17,6,18,16,3,21,13.5,10,70,60,45,64.29,5,188,56.3,0,0.0,332,81.5,33
34,Michael McDowell,16,16,20,17,10,27,19.3,-2,56,58,9,16.07,0,27,8.1,0,0.0,332,65.8,20
10,Aric Almirola,22,21,21,18,7,30,20.5,13,36,23,9,25,0,11,3.3,0,0.0,331,64.8,19
41,Cole Custer,20,22,22,19,12,27,21.6,-2,32,34,11,34.38,1,10,3.0,0,0.0,330,61.4,18
7,Corey Lajoie,29,23,23,20,17,33,23.2,5,28,23,0,0,0,0,0.0,0,0.0,329,61.2,17
17,Chris Buescher,10,17,12,21,4,27,15.0,-6,51,57,30,58.82,0,166,49.7,0,0.0,327,69.7,16
78,BJ McLeod,35,26,25,22,4,35,24.9,-9,16,25,0,0,0,4,1.2,0,0.0,324,56.5,0
66,David Starr,38,27,27,23,18,38,27.0,0,10,10,0,0,0,0,0.0,0,0.0,323,49.3,0
15,Garrett Smithley,36,25,26,24,24,39,27.4,0,10,10,0,0,0,0,0.0,0,0.0,321,43.0,0
19,Martin Truex Jr,8,7,11,25,1,17,10.3,-7,65,72,59,90.77,0,316,94.6,1,0.3,320,78.4,12
52,Josh Bilicki,33,28,28,26,15,34,28.6,0,7,7,0,0,0,1,0.3,0,0.0,319,42.5,0
13,Timmy Hill,39,29,29,27,19,39,29.2,-4,4,8,0,0,0,0,0.0,0,0.0,317,44.2,0
42,Ross Chastain,25,30,30,28,18,34,29.5,6,19,13,0,0,0,0,0.0,0,0.0,311,46.8,9
38,Anthony Alfredo,28,24,24,29,21,34,24.8,-7,13,20,0,0,0,0,0.0,0,0.0,299,52.7,8
22,Joey Logano,5,15,17,30,2,21,11.8,-14,49,63,42,85.71,2,280,83.8,0,0.0,298,86.5,7
00,Quin Houff,30,31,31,31,19,35,31.0,-17,2,19,0,0,0,0,0.0,0,0.0,59,33.5,6
23,Bubba Wallace,18,32,32,32,12,33,30.4,-3,10,13,10,100,0,28,8.4,0,0.0,38,47.2,5
48,Alex Bowman,14,33,33,33,13,33,31.7,6,13,7,0,0,0,1,0.3,0,0.0,36,44.0,4
47,Ricky Stenhouse Jr,27,34,34,34,17,29,33.2,2,12,10,0,0,0,0,0.0,0,0.0,31,37.2,3
6,Ryan Newman,31,35,35,35,16,31,33.9,5,15,10,0,0,0,0,0.0,0,0.0,31,37.3,2
37,Ryan Preece,23,36,36,36,23,33,35.3,-7,7,14,0,0,0,0,0.0,0,0.0,30,29.8,1
77,Justin Haley,32,37,37,37,23,35,36.4,9,10,1,0,0,0,0,0.0,0,0.0,30,29.0,0
51,Cody Ware,34,38,38,38,9,35,37.4,-1,5,6,0,0,0,1,0.3,0,0.0,30,26.2,0
53,Joey Gase,37,39,39,39,37,39,38.9,0,1,1,0,0,0,0,0.0,0,0.0,29,23.3,0
