Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,1,1,4,1,1,34,3.3,10,32,22,20,62.5,28,304,97.4,107,34.3,312,132.0,40
19,Martin Truex Jr,12,10,1,2,1,21,3.7,8,40,32,35,87.5,55,307,98.4,72,23.1,312,127.4,35
11,Denny Hamlin,6,12,2,3,1,20,4.7,16,45,29,43,95.56,37,311,99.7,0,0.0,312,116.4,34
12,Ryan Blaney,4,2,5,4,1,18,5.3,1,43,42,40,93.02,13,309,99.0,33,10.6,312,109.7,42
9,Chase Elliott,2,9,3,5,1,17,2.5,13,31,18,29,93.55,55,311,99.7,94,30.1,312,129.2,32
10,Aric Almirola,18,18,8,6,5,27,11.4,25,68,43,40,58.82,14,258,82.7,0,0.0,312,96.8,31
18,Kyle Busch,13,16,11,7,5,24,10.5,8,75,67,57,76,2,289,92.6,0,0.0,312,99.5,33
4,Kevin Harvick,9,11,6,8,1,18,5.2,17,56,39,54,96.43,29,311,99.7,1,0.3,312,108.9,43
20,Christopher Bell,8,4,10,9,1,21,12.6,12,98,86,69,70.41,0,225,72.1,0,0.0,312,85.2,28
2,Brad Keselowski,11,3,17,10,2,24,12.4,-7,76,83,57,75,5,223,71.5,0,0.0,312,87.8,31
22,Joey Logano,10,14,7,11,3,22,10.8,0,78,78,62,79.49,1,268,85.9,0,0.0,312,92.6,28
21,Matt DiBenedetto,15,13,12,12,6,26,11.7,27,95,68,73,76.84,2,282,90.4,0,0.0,312,88.1,26
41,Cole Custer,7,19,20,13,7,24,15.7,0,110,110,47,42.73,2,152,48.7,0,0.0,312,79.6,28
42,Ross Chastain,16,17,9,14,2,24,15.6,-6,78,84,57,73.08,0,179,57.4,0,0.0,312,76.2,23
3,Austin Dillon,23,21,14,15,4,27,19.8,-11,78,89,26,33.33,0,83,26.6,0,0.0,312,71.3,22
1,Kurt Busch,5,6,16,16,1,25,13.0,-5,72,77,39,54.17,0,221,70.8,1,0.3,312,79.2,23
24,William Byron,3,15,19,17,3,24,10.8,14,88,74,50,56.82,3,245,78.5,0,0.0,312,88.0,26
48,Alex Bowman,14,7,15,18,3,28,18.5,-15,84,99,13,15.48,0,66,21.2,0,0.0,312,66.7,19
8,Tyler Reddick,20,5,13,19,1,34,16.0,-14,79,93,36,45.57,1,167,53.5,4,1.3,312,71.4,18
37,Ryan Preece,31,24,23,20,7,37,24.2,-11,63,74,2,3.17,0,5,1.6,0,0.0,312,56.7,17
99,Daniel Suarez,17,8,21,21,4,30,20.8,-16,64,80,2,3.13,0,16,5.1,0,0.0,312,60.8,16
43,Erik Jones,27,22,18,22,10,33,18.0,13,81,68,9,11.11,0,28,9.0,0,0.0,312,67.2,15
6,Ryan Newman,19,20,22,23,15,32,21.1,-16,85,101,1,1.18,0,3,1.0,0,0.0,312,60.0,14
34,Michael McDowell,28,23,24,24,5,34,22.0,-23,49,72,3,6.12,0,13,4.2,0,0.0,312,56.3,13
17,Chris Buescher,26,26,25,25,7,35,24.7,-14,32,46,6,18.75,0,11,3.5,0,0.0,311,53.0,12
77,Justin Haley,29,27,26,26,24,36,26.9,6,27,21,0,0,0,0,0.0,0,0.0,310,49.5,0
78,BJ McLeod,32,28,27,27,26,35,28.5,-8,10,18,0,0,0,0,0.0,0,0.0,309,45.7,0
51,Cody Ware,33,29,28,28,10,36,29.6,2,13,11,0,0,0,1,0.3,0,0.0,306,43.3,0
53,Joey Gase,34,32,29,29,24,38,31.5,-13,15,28,0,0,0,0,0.0,0,0.0,303,38.7,0
52,Josh Bilicki,37,33,31,30,15,37,32.4,-7,8,15,0,0,0,1,0.3,0,0.0,303,35.7,0
15,Garrett Smithley,38,34,32,31,12,38,33.9,2,7,5,0,0,0,1,0.3,0,0.0,301,32.5,0
7,Corey Lajoie,24,36,33,32,16,38,34.9,-1,19,20,0,0,0,0,0.0,0,0.0,281,35.3,5
13,David Starr,36,31,30,33,13,38,31.7,9,23,14,0,0,0,1,0.3,0,0.0,273,38.2,0
38,Anthony Alfredo,30,25,34,34,25,37,29.7,-4,19,23,0,0,0,0,0.0,0,0.0,242,43.5,3
14,Chase Briscoe,22,30,35,35,6,30,25.0,1,44,43,18,40.91,1,86,27.6,0,0.0,153,54.3,2
47,Ricky Stenhouse Jr,21,35,36,36,18,38,29.4,4,44,40,0,0,0,0,0.0,0,0.0,140,44.8,1
00,Quin Houff,35,37,37,37,9,36,35.7,-4,7,11,0,0,0,2,0.6,0,0.0,122,30.3,1
66,Timmy Hill,39,38,38,38,14,39,37.8,-1,0,1,0,0,0,1,0.3,0,0.0,57,24.7,0
23,Bubba Wallace,25,39,39,39,20,39,38.7,-6,11,17,0,0,0,0,0.0,0,0.0,5,26.3,1
