Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
48,Alex Bowman,13,11,4,1,1,30,6.6,32,84,52,67,79.76,21,245,89.4,16,5.8,274,118.2,50
5,Kyle Larson,2,2,12,2,1,32,7.3,46,114,68,77,67.54,13,247,90.2,27,9.9,274,108.9,48
1,Ross Chastain,18,3,3,3,1,18,3.8,16,82,66,76,92.68,28,274,100.0,83,30.3,274,128.3,52
18,Kyle Busch,37,6,1,4,1,37,9.7,27,135,108,60,44.44,26,201,73.4,49,17.9,274,106.1,41
24,William Byron,14,12,5,5,1,25,6.5,23,84,61,78,92.86,13,268,97.8,8,2.9,274,111.2,48
10,Aric Almirola,20,18,8,6,1,34,16.4,-36,105,141,31,29.52,0,93,33.9,0,0.0,274,78.5,31
8,Tyler Reddick,7,9,6,7,6,36,14.2,38,131,93,28,21.37,2,140,51.1,0,0.0,274,85.0,30
19,Martin Truex Jr,12,7,2,8,1,35,7.0,39,109,70,75,68.81,34,247,90.2,1,0.4,274,105.5,34
9,Chase Elliott,5,5,15,9,1,15,8.4,-13,79,92,66,83.54,3,274,100.0,0,0.0,274,95.3,43
20,Christopher Bell,1,4,14,10,1,34,13.7,19,106,87,72,67.92,9,190,69.3,32,11.7,274,92.3,28
3,Austin Dillon,10,15,17,11,1,35,19.6,-55,100,155,28,28,2,107,39.1,0,0.0,274,69.8,26
4,Kevin Harvick,25,8,16,12,5,25,11.7,-6,93,99,57,61.29,2,218,79.6,0,0.0,274,82.8,28
45,Kurt Busch,31,28,9,13,1,34,16.0,9,116,107,45,38.79,1,159,58.0,4,1.5,274,76.7,24
22,Joey Logano,6,13,13,14,2,28,10.7,-10,97,107,80,82.47,4,253,92.3,0,0.0,274,88.0,27
7,Corey Lajoie,29,23,20,15,2,36,22.5,-7,124,131,2,1.61,1,9,3.3,0,0.0,274,59.4,22
21,Harrison Burton,19,21,21,16,12,34,22.5,-6,116,122,2,1.72,0,2,0.7,0,0.0,274,53.3,21
31,Justin Haley,28,26,18,17,9,34,22.3,19,118,99,1,0.85,2,4,1.5,0,0.0,274,58.5,20
17,Chris Buescher,27,22,19,18,10,32,20.4,13,126,113,12,9.52,0,24,8.8,0,0.0,274,60.0,19
2,Austin Cindric,3,32,24,19,2,33,19.7,-13,102,115,35,34.31,0,84,30.7,0,0.0,274,64.8,18
42,Ty Dillon,32,24,22,20,1,33,23.8,-25,104,129,6,5.77,0,20,7.3,1,0.4,274,47.0,17
47,Ricky Stenhouse Jr,9,14,7,21,1,31,14.2,-2,103,105,50,48.54,0,175,63.9,4,1.5,274,71.8,16
16,Daniel Hemric,16,27,23,22,7,36,27.3,1,68,67,3,4.41,1,10,3.7,0,0.0,274,42.4,0
38,Todd Gilliland,30,19,25,23,13,35,24.0,-14,134,148,6,4.48,0,5,1.8,0,0.0,274,48.8,14
6,Brad Keselowski,15,33,29,24,1,36,24.7,-5,66,71,14,21.21,2,51,18.6,3,1.1,273,58.3,13
23,Bubba Wallace,17,10,11,25,7,31,17.3,-13,106,119,41,38.68,0,141,51.5,0,0.0,273,63.2,13
51,Cody Ware,33,25,27,26,5,35,28.2,-35,38,73,0,0,0,3,1.1,0,0.0,273,38.5,11
34,Michael McDowell,22,16,26,27,1,35,21.2,0,111,111,25,22.52,0,50,18.3,4,1.5,273,50.2,10
78,BJ McLeod,35,31,28,28,8,37,31.9,-6,21,27,0,0,0,3,1.1,0,0.0,272,31.5,9
77,Josh Bilicki,34,30,30,29,10,37,31.1,-27,19,46,0,0,0,1,0.4,0,0.0,271,32.7,0
15,Garrett Smithley,36,34,31,30,16,37,33.8,-3,4,7,0,0,0,0,0.0,0,0.0,267,28.7,7
43,Erik Jones,23,29,10,31,7,31,16.9,56,157,101,62,39.49,3,133,48.5,0,0.0,264,65.9,6
11,Denny Hamlin,8,20,32,32,1,30,10.7,2,74,72,71,95.95,21,215,78.5,31,14.2,219,101.4,14
41,Cole Custer,24,17,33,33,3,36,27.8,-34,61,95,9,14.75,0,29,10.6,0,0.0,171,38.2,4
44,Greg Biffle,26,1,34,34,1,34,31.9,-34,19,53,0,0,0,5,1.8,1,0.7,148,31.7,3
14,Chase Briscoe,4,35,35,35,3,36,24.1,-16,69,85,52,75.36,0,109,39.8,0,0.0,135,55.3,5
12,Ryan Blaney,11,36,36,36,1,20,24.2,7,47,40,46,97.87,10,103,37.6,10,9.6,104,79.7,5
99,Daniel Suárez,21,37,37,37,13,34,31.3,10,49,39,12,24.49,0,18,6.6,0,0.0,92,37.3,1
