Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
9,Chase Elliott,4,8,1,1,1,20,4.1,11,33,22,32,96.97,33,399,99.8,73,18.3,400,132.8,50
47,Ricky Stenhouse Jr,15,16,2,2,2,19,8.9,21,59,38,52,88.14,8,376,94.0,0,0.0,400,102.8,41
1,Ross Chastain,7,10,3,3,1,20,4.7,14,43,29,42,97.67,38,397,99.3,86,21.5,400,125.2,46
20,Christopher Bell,17,30,5,4,2,32,15.3,-2,48,50,18,37.5,13,206,51.5,0,0.0,400,91.5,41
48,Alex Bowman,6,3,8,5,1,18,6.8,5,33,28,33,100,24,393,98.3,2,0.5,400,109.1,40
5,Kyle Larson,3,28,7,6,1,31,10.3,14,48,34,29,60.42,15,309,77.3,19,4.8,400,99.6,36
18,Kyle Busch,10,6,10,7,1,17,5.9,22,61,39,56,91.8,35,390,97.5,103,25.8,400,120.7,41
17,Chris Buescher,1,15,9,8,1,17,7.9,4,36,32,33,91.67,10,375,93.8,18,4.5,400,101.6,34
4,Kevin Harvick,11,14,13,9,7,24,11.5,18,60,42,58,96.67,5,385,96.3,0,0.0,400,90.6,28
43,Erik Jones,25,18,6,10,3,25,13.2,8,55,47,24,43.64,1,260,65.0,0,0.0,400,82.2,31
31,Justin Haley,14,1,12,11,1,25,12.7,-27,34,61,23,67.65,6,287,71.8,19,4.8,400,82.3,26
19,Martin Truex Jr,18,12,4,12,1,22,6.3,11,40,29,33,82.5,56,343,85.8,5,1.3,400,104.7,38
14,Chase Briscoe,23,21,16,13,5,29,21.6,4,59,55,10,16.95,1,69,17.3,0,0.0,400,60.6,24
99,Daniel Suárez,8,7,14,14,6,29,16.1,-9,75,84,38,50.67,1,222,55.5,0,0.0,400,66.1,23
41,Cole Custer,30,24,15,15,14,32,24.8,5,62,57,12,19.35,0,30,7.5,0,0.0,400,52.5,22
23,Bubba Wallace,9,4,11,16,4,27,15.2,-16,45,61,22,48.89,1,188,47.0,0,0.0,399,66.6,21
34,Michael McDowell,29,25,17,17,10,32,22.0,6,53,47,8,15.09,0,58,14.5,0,0.0,399,54.5,20
7,Corey Lajoie,21,20,18,18,12,27,19.7,-8,43,51,7,16.28,1,47,11.8,0,0.0,399,55.6,19
10,Aric Almirola,27,22,19,19,5,27,16.5,-3,52,55,15,28.85,1,179,44.8,0,0.0,399,62.9,18
6,Brad Keselowski,20,23,20,20,4,25,15.9,-7,48,55,17,35.42,1,180,45.0,0,0.0,399,65.7,18
11,Denny Hamlin,2,17,22,21,1,29,14.2,50,77,27,35,45.45,42,198,49.5,67,16.8,399,86.2,26
24,William Byron,33,9,23,22,4,33,15.4,-4,47,51,19,40.43,3,208,52.0,0,0.0,399,68.2,19
3,Austin Dillon,24,11,24,23,6,29,25.4,-38,21,59,2,9.52,0,14,3.5,0,0.0,398,44.0,14
21,Harrison Burton,35,26,25,24,2,35,27.5,-5,45,50,0,0,0,9,2.3,0,0.0,398,41.0,16
15,Ryan Preece,13,27,21,25,13,28,20.2,-5,66,71,1,1.52,4,18,4.5,0,0.0,398,59.1,0
12,Ryan Blaney,5,19,26,26,1,29,17.7,2,40,38,8,20,3,131,32.8,8,2.0,397,67.6,21
42,Ty Dillon,31,13,28,27,8,33,28.7,-22,24,46,4,16.67,0,11,2.8,0,0.0,396,38.3,10
38,Todd Gilliland,34,31,27,28,27,35,31.7,-4,8,12,0,0,0,0,0.0,0,0.0,396,34.0,9
22,Joey Logano,22,29,29,29,11,31,26.4,-5,29,34,0,0,0,3,0.8,0,0.0,396,39.5,8
8,Tyler Reddick,26,5,30,30,4,30,22.1,-12,60,72,5,8.33,1,43,10.8,0,0.0,390,43.4,7
45,Kurt Busch,16,32,31,31,7,33,25.8,6,34,28,3,8.82,4,19,4.8,0,0.0,388,43.7,6
77,Josh Bilicki,36,34,32,32,32,36,34.1,-3,1,4,0,0,0,0,0.0,0,0.0,381,26.7,0
16,AJ Allmendinger,19,2,33,33,2,31,18.9,-21,47,68,18,38.3,4,179,44.8,0,0.0,321,62.6,0
51,Cody Ware,28,33,34,34,26,33,32.9,-3,11,14,0,0,0,0,0.0,0,0.0,238,31.8,3
78,BJ McLeod,32,35,35,35,32,36,34.7,3,5,2,0,0,0,0,0.0,0,0.0,167,24.8,2
2,Austin Cindric,12,36,36,36,6,36,30.9,-4,9,13,4,44.44,1,74,18.5,0,0.0,91,46.9,1
